FFT-Momentaufnahme #1	FFT-Momentaufnahme #1	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung	reibung
1.09	0.00	0.740				-1.329	-5.812	106.029	-0.0317	-0.139	2.531	
1.11	0.00	0.750	98.61	99.25	-0.64							
1.14	0.00	0.760				-1.425	-3.613	111.919	-0.0340	-0.086	2.672	
1.16	0.00	0.780				-1.473	-1.335	115.846	-0.0352	-0.032	2.766	
1.18	0.00	0.800	98.87	99.25	-0.38	-1.478	1.021	118.792	-0.0353	0.024	2.836	24.8
1.21	0.00	0.820				-1.433	3.416	113.883	-0.0342	0.082	2.719	
1.23	0.00	0.840				-1.341	5.576	103.084	-0.0320	0.133	2.461	
1.26	0.00	0.850	99.07	99.25	-0.18							
1.28	0.00	0.860				-1.210	7.540	90.321	-0.0289	0.180	2.156	
1.31	0.00	0.880				-1.040	9.189	70.686	-0.0248	0.219	1.687	
1.33	0.00	0.900	99.36	99.25	0.11	-0.842	10.367	47.124	-0.0201	0.247	1.125	24.8
1.35	0.00	0.920				-0.625	11.074	24.544	-0.0149	0.264	0.586	
1.38	0.00	0.940				-0.399	11.349	-1.963	-0.0095	0.271	-0.047	
1.40	0.00	0.950	99.72	99.25	0.47							
1.43	0.00	0.960				-0.171	10.996	-34.361	-0.0041	0.262	-0.820	
1.45	0.00	0.980				0.041	9.975	-63.814	9.7500E-4	0.238	-1.523	
1.48	0.00	1.000	99.76	99.25	0.51	0.228	8.443	-89.339	0.0054	0.202	-2.133	24.8
1.50	0.00	1.020				0.379	6.401	-112.901	0.0090	0.153	-2.695	
1.53	0.00	1.040				0.484	3.927	-126.646	0.0115	0.094	-3.023	
1.55	0.00	1.050	99.42	99.25	0.17							
1.57	0.00	1.060				0.536	1.335	-133.518	0.0128	0.032	-3.187	
1.60	0.00	1.080				0.537	-1.414	-139.408	0.0128	-0.034	-3.328	
1.62	0.00	1.100	99.12	99.25	-0.13	0.479	-4.241	-134.500	0.0114	-0.101	-3.211	24.8
1.65	0.00	1.120				0.368	-6.794	-117.810	0.0088	-0.162	-2.812	
1.67	0.00	1.140				0.207	-8.954	-93.266	0.0049	-0.214	-2.227	
1.70	0.00	1.150	98.84	99.25	-0.41							
1.72	0.00	1.160				0.009	-10.524	-63.814	2.2500E-4	-0.251	-1.523	
1.75	0.00	1.180				-0.214	-11.506	-31.416	-0.0051	-0.275	-0.750	
1.77	0.00	1.200	98.60	99.25	-0.65	-0.451	-11.781	2.945	-0.0108	-0.281	0.070	24.8
1.79	0.00	1.220				-0.685	-11.388	34.361	-0.0164	-0.272	0.820	
1.82	0.00	1.240				-0.906	-10.407	62.832	-0.0216	-0.248	1.500	
1.84	0.00	1.250	98.52	99.24	-0.72							
1.87	0.00	1.260				-1.101	-8.875	86.394	-0.0263	-0.212	2.062	
1.89	0.00	1.280				-1.261	-6.951	102.102	-0.0301	-0.166	2.437	
1.92	0.00	1.300	98.62	99.25	-0.63	-1.379	-4.791	110.938	-0.0329	-0.114	2.648	24.8
1.94	0.00	1.320				-1.453	-2.513	113.883	-0.0347	-0.060	2.719	
1.97	0.00	1.340				-1.480	-0.236	114.865	-0.0353	-0.006	2.742	
1.99	0.00	1.350	98.89	99.25	-0.36							
2.01	0.00	1.360				-1.462	2.081	115.846	-0.0349	0.050	2.766	
2.04	0.00	1.380				-1.396	4.398	109.956	-0.0333	0.105	2.625	
2.06	0.00	1.400	99.08	99.24	-0.16	-1.286	6.480	98.175	-0.0307	0.155	2.344	24.8
2.09	0.00	1.420				-1.137	8.325	83.449	-0.0272	0.199	1.992	
2.11	0.00	1.440				-0.953	9.817	63.814	-0.0228	0.234	1.523	
2.14	0.00	1.450	99.39	99.25	0.14							
2.16	0.00	1.460				-0.745	10.878	39.270	-0.0178	0.260	0.937	
2.19	0.00	1.480				-0.518	11.388	10.799	-0.0124	0.272	0.258	
2.21	0.00	1.500	99.69	99.25	0.44	-0.289	11.310	-19.635	-0.0069	0.270	-0.469	24.8
2.23	0.00	1.520				-0.066	10.603	-49.087	-0.0016	0.253	-1.172	
2.26	0.00	1.540				0.135	9.346	-76.576	0.0032	0.223	-1.828	
2.28	0.00	1.550	99.75	99.25	0.50							
2.31	0.00	1.560				0.308	7.540	-103.084	0.0073	0.180	-2.461	
2.33	0.00	1.580				0.437	5.223	-122.719	0.0104	0.125	-2.930	
2.36	0.00	1.600	99.49	99.25	0.24	0.517	2.631	-131.554	0.0123	0.063	-3.141	24.8
2.38	0.00	1.620				0.542	-0.039	-136.463	0.0129	-9.375E-4	-3.258	
2.40	0.00	1.640				0.515	-2.827	-139.408	0.0123	-0.067	-3.328	
2.43	0.00	1.650	99.09	99.25	-0.16							
2.45	0.00	1.660				0.429	-5.616	-128.609	0.0102	-0.134	-3.070	
2.48	0.00	1.680				0.291	-7.972	-105.047	0.0069	-0.190	-2.508	
2.50	0.00	1.700	98.90	99.25	-0.35	0.110	-9.817	-77.558	0.0026	-0.234	-1.852	24.8
2.53	0.01	1.720				-0.102	-11.074	-46.142	-0.0024	-0.264	-1.102	
2.55	0.00	1.740				-0.333	-11.663	-12.763	-0.0080	-0.278	-0.305	
2.58	0.00	1.750	98.60	99.25	-0.65							
2.60	0.00	1.760				-0.569	-11.585	18.653	-0.0136	-0.277	0.445	
2.62	0.01	1.780				-0.796	-10.917	48.106	-0.0190	-0.261	1.148	
2.65	0.01	1.800	98.53	99.25	-0.72	-1.005	-9.660	74.613	-0.0240	-0.231	1.781	24.8
2.67	0.01	1.820				-1.183	-7.933	93.266	-0.0282	-0.189	2.227	
2.70	0.01	1.840				-1.323	-5.930	105.047	-0.0316	-0.142	2.508	
2.72	0.01	1.850	98.64	99.25	-0.60							
2.75	0.01	1.860				-1.420	-3.731	110.938	-0.0339	-0.089	2.648	
2.77	0.01	1.880				-1.472	-1.492	113.883	-0.0351	-0.036	2.719	
2.80	0.01	1.900	98.83	99.24	-0.41	-1.480	0.825	117.810	-0.0353	0.020	2.813	24.8
2.82	0.01	1.920				-1.439	3.220	114.865	-0.0344	0.077	2.742	
2.84	0.01	1.940				-1.351	5.419	104.065	-0.0323	0.129	2.484	
2.87	0.01	1.950	99.09	99.25	-0.16							
2.89	0.01	1.960				-1.222	7.383	90.321	-0.0292	0.176	2.156	
2.92	0.02	1.980				-1.056	9.032	73.631	-0.0252	0.216	1.758	
2.94	0.02	2.000	99.31	99.24	0.07	-0.861	10.328	52.033	-0.0206	0.247	1.242	24.8
2.97	0.02	2.020				-0.642	11.113	26.507	-0.0153	0.265	0.633	
2.99	0.02	2.040				-0.416	11.388	-0.982	-0.0099	0.272	-0.023	
3.02	0.03	2.050	99.71	99.25	0.46							
3.04	0.05	2.060				-0.187	11.074	-32.398	-0.0045	0.264	-0.773	
3.06	0.08	2.080				0.027	10.092	-60.868	6.3750E-4	0.241	-1.453	
3.09	1.00	2.100	99.79	99.25	0.54	0.217	8.639	-87.376	0.0052	0.206	-2.086	24.8
3.11	0.07	2.120				0.372	6.597	-113.883	0.0089	0.157	-2.719	
3.14	0.04	2.140				0.481	4.084	-129.591	0.0115	0.097	-3.094	
3.16	0.03	2.150	99.47	99.25	0.22							
3.19	0.02	2.160				0.536	1.414	-136.463	0.0128	0.034	-3.258	
3.21	0.02	2.180				0.537	-1.374	-141.372	0.0128	-0.033	-3.375	
3.23	0.02	2.200	99.14	99.25	-0.11	0.481	-4.241	-137.445	0.0115	-0.101	-3.281	24.8
3.26	0.01	2.220				0.368	-6.872	-119.773	0.0088	-0.164	-2.859	
3.28	0.01	2.240				0.206	-9.032	-92.284	0.0049	-0.216	-2.203	
3.31	0.01	2.250	98.86	99.26	-0.39							
3.33	0.01	2.260				0.006	-10.564	-60.868	1.5000E-4	-0.252	-1.453	
3.36	0.01	2.280				-0.217	-11.467	-29.452	-0.0052	-0.274	-0.703	
3.38	0.01	2.300	98.63	99.25	-0.63	-0.452	-11.742	1.963	-0.0108	-0.280	0.047	24.8
3.41	0.01	2.320				-0.686	-11.388	34.361	-0.0164	-0.272	0.820	
3.43	0.01	2.340				-0.908	-10.367	65.777	-0.0217	-0.247	1.570	
3.45	0.01	2.350	98.53	99.25	-0.72							
3.48	0.01	2.360				-1.101	-8.757	86.394	-0.0263	-0.209	2.062	
3.50	0.01	2.380				-1.258	-6.912	98.175	-0.0300	-0.165	2.344	
3.53	0.01	2.400	98.66	99.24	-0.59	-1.378	-4.830	108.974	-0.0329	-0.115	2.602	24.8
3.55	0.01	2.420				-1.451	-2.553	111.919	-0.0347	-0.061	2.672	
3.58	0.01	2.440				-1.480	-0.353	112.901	-0.0353	-0.008	2.695	
3.60	0.01	2.450	98.86	99.25	-0.39							
3.63	0.00	2.460				-1.466	1.963	115.846	-0.0350	0.047	2.766	
3.65	0.01	2.480				-1.401	4.280	108.974	-0.0335	0.102	2.602	
3.67	0.00	2.500	99.10	99.25	-0.15	-1.294	6.322	97.193	-0.0309	0.151	2.320	24.8
3.70	0.00	2.520				-1.148	8.168	84.430	-0.0274	0.195	2.016	
3.72	0.00	2.540				-0.968	9.700	64.795	-0.0231	0.232	1.547	
3.75	0.00	2.550	99.34	99.24	0.10							
3.77	0.00	2.560				-0.760	10.760	39.270	-0.0182	0.257	0.937	
3.80	0.00	2.580				-0.537	11.270	13.744	-0.0128	0.269	0.328	
3.82	0.00	2.600	99.71	99.25	0.47	-0.309	11.310	-12.763	-0.0074	0.270	-0.305	24.8
3.85	0.00	2.620				-0.085	10.760	-46.142	-0.0020	0.257	-1.102	
3.87	0.00	2.640				0.121	9.464	-76.576	0.0029	0.226	-1.828	
3.89	0.00	2.650	99.78	99.25	0.53							
3.92	0.00	2.660				0.294	7.697	-100.138	0.0070	0.184	-2.391	
3.94	0.00	2.680				0.429	5.459	-121.737	0.0102	0.130	-2.906	
3.97	0.00	2.700	99.44	99.25	0.19	0.512	2.827	-132.536	0.0122	0.067	-3.164	24.8
3.99	0.00	2.720				0.542	0.157	-136.463	0.0129	0.004	-3.258	
4.02	0.00	2.740				0.518	-2.631	-140.390	0.0124	-0.063	-3.352	
4.04	0.00	2.750	99.12	99.25	-0.13							
4.06	0.00	2.760				0.437	-5.459	-131.554	0.0104	-0.130	-3.141	
4.09	0.00	2.780				0.300	-7.893	-108.974	0.0072	-0.188	-2.602	
4.11	0.00	2.800	98.84	99.25	-0.40	0.121	-9.817	-82.467	0.0029	-0.234	-1.969	24.8
4.14	0.00	2.820				-0.093	-11.192	-48.106	-0.0022	-0.267	-1.148	
4.16	0.00	2.840				-0.327	-11.742	-11.781	-0.0078	-0.280	-0.281	
4.19	0.00	2.850	98.60	99.25	-0.65							
4.21	0.00	2.860				-0.562	-11.663	17.671	-0.0134	-0.278	0.422	
4.24	0.00	2.880				-0.793	-11.035	48.106	-0.0189	-0.263	1.148	
4.26	0.00	2.900	98.52	99.25	-0.73	-1.004	-9.739	75.595	-0.0240	-0.232	1.805	24.8
4.28	0.00	2.920				-1.183	-8.011	95.230	-0.0282	-0.191	2.273	
4.31	0.00	2.940				-1.324	-5.930	107.992	-0.0316	-0.142	2.578	
4.33	0.00	2.950	98.62	99.25	-0.63							
4.36	0.00	2.960				-1.420	-3.691	110.938	-0.0339	-0.088	2.648	
4.38	0.00	2.980				-1.472	-1.492	112.901	-0.0351	-0.036	2.695	
4.41	0.00	3.000	98.88	99.25	-0.37	-1.480	0.825	116.828	-0.0353	0.020	2.789	24.8
4.43	0.00	3.020				-1.439	3.181	112.901	-0.0344	0.076	2.695	
4.46	0.00	3.040				-1.352	5.341	102.102	-0.0323	0.127	2.437	
4.48	0.00	3.050	99.07	99.25	-0.18							
4.50	0.00	3.060				-1.225	7.265	89.339	-0.0293	0.173	2.133	
4.53	0.00	3.080				-1.062	8.914	74.613	-0.0254	0.213	1.781	
4.55	0.00	3.100	99.37	99.26	0.11	-0.869	10.249	53.014	-0.0207	0.245	1.266	24.8
4.58	0.00	3.120				-0.652	11.035	26.507	-0.0156	0.263	0.633	
4.60	0.00	3.140				-0.427	11.310	0.000	-0.0102	0.270	0.000	
4.63	0.00	3.150	99.65	99.25	0.40							
4.65	0.00	3.160				-0.199	11.035	-30.434	-0.0048	0.263	-0.727	
4.68	0.00	3.180				0.014	10.092	-58.905	3.3750E-4	0.241	-1.406	
4.70	0.00	3.200	99.76	99.25	0.51	0.204	8.679	-84.430	0.0049	0.207	-2.016	24.8
4.72	0.00	3.220				0.361	6.715	-109.956	0.0086	0.160	-2.625	
4.75	0.00	3.240				0.473	4.280	-125.664	0.0113	0.102	-3.000	
4.77	0.00	3.250	99.52	99.25	0.27							
4.80	0.00	3.260				0.533	1.689	-135.481	0.0127	0.040	-3.234	
4.82	0.00	3.280				0.540	-1.139	-142.354	0.0129	-0.027	-3.398	
4.85	0.00	3.300	99.11	99.25	-0.14	0.487	-4.006	-136.463	0.0116	-0.096	-3.258	24.8
4.87	0.00	3.320				0.380	-6.597	-121.737	0.0091	-0.157	-2.906	
4.90	0.00	3.340				0.223	-8.875	-97.193	0.0053	-0.212	-2.320	
4.92	0.00	3.350	98.91	99.25	-0.34							
4.94	0.00	3.360				0.025	-10.485	-63.814	6.0000E-4	-0.250	-1.523	
4.97	0.00	3.380				-0.196	-11.428	-32.398	-0.0047	-0.273	-0.773	
4.99	0.00	3.400	98.60	99.25	-0.65	-0.432	-11.781	-0.982	-0.0103	-0.281	-0.023	24.8
5.02	0.00	3.420				-0.668	-11.467	32.398	-0.0159	-0.274	0.773	
5.04	0.00	3.440				-0.891	-10.485	61.850	-0.0213	-0.250	1.477	
5.07	0.00	3.450	98.53	99.25	-0.72							
5.09	0.00	3.460				-1.087	-8.993	83.449	-0.0260	-0.215	1.992	
5.11	0.00	3.480				-1.250	-7.147	100.138	-0.0299	-0.171	2.391	
5.14	0.00	3.500	98.63	99.25	-0.61	-1.373	-4.987	111.919	-0.0328	-0.119	2.672	24.8
5.16	0.00	3.520				-1.450	-2.670	113.883	-0.0346	-0.064	2.719	
5.19	0.00	3.540				-1.480	-0.432	114.865	-0.0353	-0.010	2.742	
5.21	0.00	3.550	98.82	99.25	-0.43							
5.24	0.00	3.560				-1.467	1.924	117.810	-0.0350	0.046	2.812	
5.26	0.00	3.580				-1.403	4.280	110.938	-0.0335	0.102	2.648	
5.29	0.00	3.600	99.09	99.25	-0.16	-1.296	6.362	97.193	-0.0309	0.152	2.320	24.8
5.31	0.00	3.620				-1.148	8.168	82.467	-0.0274	0.195	1.969	
5.33	0.00	3.640				-0.969	9.660	64.795	-0.0231	0.231	1.547	
5.36	0.00	3.650	99.30	99.25	0.05							
5.38	0.00	3.660				-0.762	10.760	39.270	-0.0182	0.257	0.937	
5.41	0.00	3.680				-0.539	11.231	11.781	-0.0129	0.268	0.281	
5.43	0.00	3.700	99.70	99.25	0.45	-0.313	11.231	-13.744	-0.0075	0.268	-0.328	24.8
5.46	0.00	3.720				-0.090	10.681	-45.160	-0.0021	0.255	-1.078	
5.48	0.00	3.740				0.115	9.425	-74.613	0.0027	0.225	-1.781	
5.51	0.00	3.750	99.77	99.25	0.53							
5.53	0.00	3.760				0.287	7.697	-97.193	0.0069	0.184	-2.320	
5.55	0.00	3.780				0.423	5.537	-117.810	0.0101	0.132	-2.812	
5.58	3.32E-4	3.800	99.49	99.25	0.24	0.509	2.985	-129.591	0.0121	0.071	-3.094	24.8
5.60	0.00	3.820				0.542	0.353	-136.463	0.0129	0.008	-3.258	
5.63	0.00	3.840				0.523	-2.474	-141.372	0.0125	-0.059	-3.375	
5.65	0.00	3.850	99.09	99.25	-0.16							
5.68	0.00	3.860				0.443	-5.301	-130.573	0.0106	-0.127	-3.117	
5.70	0.00	3.880				0.311	-7.697	-108.974	0.0074	-0.184	-2.602	
5.73	0.00	3.900	98.89	99.25	-0.36	0.135	-9.660	-82.467	0.0032	-0.231	-1.969	24.8
5.75	0.00	3.920				-0.075	-10.996	-49.087	-0.0018	-0.262	-1.172	
5.77	0.00	3.940				-0.305	-11.624	-17.671	-0.0073	-0.277	-0.422	
5.80	0.00	3.950	98.59	99.25	-0.66							
5.82	0.00	3.960				-0.540	-11.702	12.763	-0.0129	-0.279	0.305	
5.85	0.00	3.980				-0.773	-11.113	46.142	-0.0185	-0.265	1.102	
5.87	0.00	4.000	98.53	99.25	-0.72	-0.985	-9.857	73.631	-0.0235	-0.235	1.758	24.8
5.90	0.00	4.020				-1.167	-8.168	93.266	-0.0279	-0.195	2.227	
5.92	0.00	4.040				-1.312	-6.126	106.029	-0.0313	-0.146	2.531	
5.94	0.00	4.050	98.64	99.25	-0.61							
5.97	0.00	4.060				-1.412	-3.927	110.938	-0.0337	-0.094	2.648	
5.99	0.00	4.080				-1.469	-1.689	113.883	-0.0351	-0.040	2.719	
6.02	0.00	4.100	98.84	99.25	-0.41	-1.480	0.628	116.828	-0.0353	0.015	2.789	24.9
6.04	0.00	4.120				-1.444	2.985	114.865	-0.0345	0.071	2.742	
6.07	0.00	4.140				-1.360	5.223	106.029	-0.0325	0.125	2.531	
6.09	0.00	4.150	99.10	99.25	-0.15							
6.12	0.00	4.160				-1.235	7.226	92.284	-0.0295	0.173	2.203	
6.14	0.00	4.180				-1.071	8.914	76.576	-0.0256	0.213	1.828	
6.16	0.00	4.200	99.33	99.25	0.08	-0.878	10.289	55.960	-0.0210	0.246	1.336	24.8
6.19	0.02	4.220				-0.660	11.153	27.489	-0.0158	0.266	0.656	
6.21	0.00	4.240				-0.432	11.388	-1.963	-0.0103	0.272	-0.047	
6.24	0.00	4.250	99.72	99.25	0.47							
6.26	9.57E-4	4.260				-0.204	11.074	-30.434	-0.0049	0.264	-0.727	
6.29	0.00	4.280				0.011	10.171	-58.905	2.6250E-4	0.243	-1.406	
6.31	0.00	4.300	99.78	99.24	0.54	0.203	8.718	-85.412	0.0048	0.208	-2.039	24.8
6.34	8.14E-4	4.320				0.360	6.754	-109.956	0.0086	0.161	-2.625	
6.36	9.09E-4	4.340				0.473	4.320	-127.627	0.0113	0.103	-3.047	
6.38	0.00	4.350	99.45	99.25	0.21							
6.41	0.00	4.360				0.533	1.649	-134.500	0.0127	0.039	-3.211	
6.43	8.15E-4	4.380				0.539	-1.060	-139.408	0.0129	-0.025	-3.328	
6.46	0.00	4.400	99.14	99.25	-0.11	0.490	-3.927	-137.445	0.0117	-0.094	-3.281	24.8
6.48	0.00	4.420				0.382	-6.558	-118.792	0.0091	-0.157	-2.836	
6.51	0.00	4.440				0.228	-8.679	-95.230	0.0054	-0.207	-2.273	
6.53	0.00	4.450	98.86	99.25	-0.38							
6.56	0.00	4.460				0.035	-10.367	-67.741	8.2500E-4	-0.247	-1.617	
6.58	9.44E-4	4.480				-0.187	-11.388	-34.361	-0.0045	-0.272	-0.820	
6.60	9.38E-4	4.500	98.62	99.25	-0.63	-0.421	-11.742	-1.963	-0.0101	-0.280	-0.047	24.8
6.63	9.71E-4	4.520				-0.657	-11.467	31.416	-0.0157	-0.274	0.750	
6.65	0.00	4.540				-0.880	-10.485	60.868	-0.0210	-0.250	1.453	
6.68	0.00	4.550	98.52	99.25	-0.73							
6.70	9.72E-4	4.560				-1.076	-9.032	81.485	-0.0257	-0.216	1.945	
6.73	9.97E-4	4.580				-1.241	-7.226	98.175	-0.0296	-0.172	2.344	
6.75	9.61E-4	4.600	98.60	99.25	-0.64	-1.365	-5.105	108.974	-0.0326	-0.122	2.602	24.8
6.77	0.00	4.620				-1.445	-2.867	112.901	-0.0345	-0.068	2.695	
6.80	9.58E-4	4.640				-1.480	-0.589	114.865	-0.0353	-0.014	2.742	
6.82	0.00	4.650	98.86	99.25	-0.39							
6.85	9.76E-4	4.660				-1.469	1.728	115.846	-0.0351	0.041	2.766	
6.87	0.00	4.680				-1.411	4.045	110.938	-0.0337	0.097	2.648	
6.90	8.23E-4	4.700	99.07	99.25	-0.18	-1.307	6.165	100.138	-0.0312	0.147	2.391	24.8
6.92	9.33E-4	4.720				-1.164	8.050	85.412	-0.0278	0.192	2.039	
6.95	9.71E-4	4.740				-0.985	9.582	65.777	-0.0235	0.229	1.570	
6.97	9.82E-4	4.750	99.35	99.25	0.11							
6.99	9.42E-4	4.760				-0.781	10.681	42.215	-0.0186	0.255	1.008	
7.02	9.81E-4	4.780				-0.558	11.270	15.708	-0.0133	0.269	0.375	
7.04	9.27E-4	4.800	99.63	99.25	0.39	-0.330	11.310	-11.781	-0.0079	0.270	-0.281	24.8
7.07	9.91E-4	4.820				-0.105	10.799	-42.215	-0.0025	0.258	-1.008	
7.09	9.12E-4	4.840				0.102	9.621	-72.649	0.0024	0.230	-1.734	
7.12	9.24E-4	4.850	99.77	99.25	0.52							
7.14	9.55E-4	4.860				0.280	7.893	-99.157	0.0067	0.188	-2.367	
7.17	9.17E-4	4.880				0.418	5.655	-120.755	0.0100	0.135	-2.883	
7.19	9.47E-4	4.900	99.53	99.25	0.28	0.506	3.063	-130.573	0.0121	0.073	-3.117	24.8
7.21	9.31E-4	4.920				0.540	0.432	-136.463	0.0129	0.010	-3.258	
7.24	9.52E-4	4.940				0.523	-2.395	-142.354	0.0125	-0.057	-3.398	
7.26	9.29E-4	4.950	99.11	99.25	-0.14							
7.29	9.81E-4	4.960				0.445	-5.262	-133.518	0.0106	-0.126	-3.188	
7.31	9.20E-4	4.980				0.313	-7.736	-110.938	0.0075	-0.185	-2.648	
7.34	9.34E-4	5.000	98.92	99.25	-0.33	0.135	-9.700	-81.485	0.0032	-0.232	-1.945	24.9
7.36	9.41E-4	5.020				-0.075	-10.996	-49.087	-0.0018	-0.262	-1.172	
7.39	9.07E-4	5.040				-0.305	-11.663	-16.690	-0.0073	-0.278	-0.398	
7.41	9.29E-4	5.050	98.61	99.25	-0.64							
7.43	8.64E-4	5.060				-0.542	-11.663	15.708	-0.0129	-0.278	0.375	
7.46	8.74E-4	5.080				-0.771	-11.035	45.160	-0.0184	-0.263	1.078	
7.48	9.20E-4	5.100	98.53	99.24	-0.71	-0.983	-9.857	72.649	-0.0235	-0.235	1.734	24.8
7.51	9.05E-4	5.120				-1.166	-8.129	93.266	-0.0278	-0.194	2.227	
7.53	8.89E-4	5.140				-1.308	-6.126	104.065	-0.0312	-0.146	2.484	
7.56	9.04E-4	5.150	98.63	99.24	-0.62							
7.58	8.97E-4	5.160				-1.411	-3.966	109.956	-0.0337	-0.095	2.625	
7.60	8.94E-4	5.180				-1.467	-1.728	111.919	-0.0350	-0.041	2.672	
7.63	9.23E-4	5.200	98.81	99.25	-0.44	-1.480	0.511	113.883	-0.0353	0.012	2.719	24.8
7.65	9.00E-4	5.220				-1.447	2.827	112.901	-0.0345	0.068	2.695	
7.68	8.80E-4	5.240				-1.367	5.027	106.029	-0.0326	0.120	2.531	
7.70	9.15E-4	5.250	99.08	99.25	-0.17							
7.73	8.88E-4	5.260				-1.246	7.069	94.248	-0.0297	0.169	2.250	
7.75	9.01E-4	5.280				-1.084	8.796	75.595	-0.0259	0.210	1.805	
7.78	8.29E-4	5.300	99.28	99.25	0.03	-0.894	10.092	55.960	-0.0213	0.241	1.336	24.8
7.80	8.78E-4	5.320				-0.680	11.035	32.398	-0.0162	0.263	0.773	
7.82	8.35E-4	5.340				-0.452	11.388	1.963	-0.0108	0.272	0.047	
7.85	8.79E-4	5.350	99.67	99.25	0.42							
7.87	8.41E-4	5.360				-0.225	11.113	-27.489	-0.0054	0.265	-0.656	
7.90	8.39E-4	5.380				-0.008	10.289	-55.960	-1.8750E-4	0.246	-1.336	
