Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)	Zeit (s)	Winkel (rad)	Winkelgeschwindigkeit (rad/s)	Winkelbeschleunigung (rad/s²)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
5,900	-9,280	-25,510	115,925	-0,2216	-0,609	2,768	5,900	9,172	32,107	-109,013	0,2190	0,767	-2,603	5,900	-6,663	-35,814	83,252	-0,1591	-0,855	1,988	5,900	5,782	-38,642	-61,732	0,1380	-0,923	-1,474	5,900	-13,657	5,655	160,536	-0,3260	0,135	3,832	5,900	12,745	-7,241	-143,728	0,3043	-0,173	-3,431	5,900	9,940	-27,065	-110,584	0,2373	-0,646	-2,640	5,900	9,993	28,369	-118,124	0,2386	0,677	-2,820	5,900	-11,013	17,656	127,549	-0,2629	0,422	3,045	5,900	-11,570	24,881	133,989	-0,2762	0,594	3,199	5,900	-12,928	-8,215	162,892	-0,3086	-0,196	3,889	5,900	11,395	17,373	-132,732	0,2720	0,415	-3,169	5,900	-7,490	-31,636	92,834	-0,1788	-0,755	2,216	5,900	-7,298	-31,447	91,263	-0,1742	-0,751	2,179	5,900	-10,257	29,280	117,181	-0,2449	0,699	2,798	5,900	12,436	8,404	-143,571	0,2969	0,201	-3,428	5,900	4,810	-38,893	-51,679	0,1148	-0,929	-1,234	5,900	11,622	18,787	-135,403	0,2775	0,449	-3,233	5,900	6,993	-35,861	-74,613	0,1670	-0,856	-1,781	5,900	-8,847	-35,767	112,940	-0,2112	-0,854	2,696
5,950	-10,410	-19,352	129,277	-0,2485	-0,462	3,086	5,950	10,637	26,264	-123,151	0,2540	0,627	-2,940	5,950	-8,349	-31,023	104,929	-0,1993	-0,741	2,505	5,950	3,771	-41,123	-38,956	0,0900	-0,982	-0,930	5,950	-13,174	13,399	150,011	-0,3145	0,320	3,581	5,950	12,202	-14,310	-136,659	0,2913	-0,342	-3,262	5,950	8,449	-32,248	-95,033	0,2017	-0,770	-2,269	5,950	11,266	22,133	-131,162	0,2689	0,528	-3,131	5,950	-9,970	23,719	114,668	-0,2380	0,566	2,737	5,950	-10,157	31,165	117,024	-0,2425	0,744	2,794	5,950	-13,132	-0,047	159,750	-0,3135	-0,001	3,814	5,950	12,095	10,493	-139,644	0,2887	0,251	-3,334	5,950	-8,955	-26,484	111,684	-0,2138	-0,632	2,666	5,950	-8,756	-26,405	109,799	-0,2090	-0,630	2,621	5,950	-8,644	34,730	97,232	-0,2064	0,829	2,321	5,950	12,676	1,147	-144,042	0,3026	0,027	-3,439	5,950	2,798	-40,872	-27,646	0,0668	-0,976	-0,660	5,950	12,390	11,750	-143,257	0,2958	0,281	-3,420	5,950	5,105	-39,113	-52,936	0,1219	-0,934	-1,264	5,950	-10,491	-29,484	134,617	-0,2505	-0,704	3,214
6,000	-11,215	-12,582	139,801	-0,2678	-0,300	3,338	6,000	11,798	19,792	-135,560	0,2817	0,472	-3,236	6,000	-9,766	-25,321	120,794	-0,2331	-0,605	2,884	6,000	1,670	-42,537	-16,336	0,0399	-1,015	-0,390	6,000	-12,317	20,656	138,858	-0,2940	0,493	3,315	6,000	11,314	-20,907	-125,350	0,2701	-0,499	-2,992	6,000	6,715	-36,568	-74,613	0,1603	-0,873	-1,781	6,000	12,207	15,252	-142,000	0,2914	0,364	-3,390	6,000	-8,641	29,123	99,746	-0,2063	0,695	2,381	6,000	-8,454	36,584	97,861	-0,2018	0,873	2,336	6,000	-12,932	7,760	151,268	-0,3087	0,185	3,611	6,000	12,444	3,409	-141,372	0,2971	0,081	-3,375	6,000	-10,138	-20,467	126,292	-0,2420	-0,489	3,015	6,000	-9,938	-20,467	125,193	-0,2373	-0,489	2,989	6,000	-6,784	39,003	73,827	-0,1620	0,931	1,762	6,000	12,551	-6,000	-140,115	0,2996	-0,143	-3,345	6,000	0,723	-41,658	-4,398	0,0173	-0,994	-0,105	6,000	12,797	4,461	-145,613	0,3055	0,106	-3,476	6,000	3,082	-41,155	-28,903	0,0736	-0,982	-0,690	6,000	-11,795	-22,305	150,168	-0,2816	-0,532	3,585
6,050	-11,668	-5,372	144,356	-0,2786	-0,128	3,446	6,050	12,617	12,708	-145,142	0,3012	0,303	-3,465	6,050	-10,881	-18,944	133,675	-0,2598	-0,452	3,191	6,050	-0,482	-42,757	10,053	-0,0115	-1,021	0,240	6,050	-11,109	27,285	124,721	-0,2652	0,651	2,978	6,050	10,111	-26,845	-111,684	0,2414	-0,641	-2,666	6,050	4,793	-39,710	-51,679	0,1144	-0,948	-1,234	6,050	12,791	7,933	-147,812	0,3054	0,189	-3,529	6,050	-7,058	33,694	79,954	-0,1685	0,804	1,909	6,050	-6,498	40,951	72,885	-0,1551	0,978	1,740	6,050	-12,356	15,080	141,372	-0,2950	0,360	3,375	6,050	12,436	-3,644	-139,016	0,2969	-0,087	-3,319	6,050	-11,002	-13,854	135,717	-0,2626	-0,331	3,240	6,050	-10,802	-13,886	134,617	-0,2579	-0,331	3,214	6,050	-4,744	42,113	50,266	-0,1132	1,005	1,200	6,050	12,076	-12,865	-133,675	0,2883	-0,307	-3,191	6,050	-1,368	-41,312	20,263	-0,0327	-0,986	0,484	6,050	12,837	-2,812	-143,414	0,3065	-0,067	-3,424	6,050	0,990	-42,003	-5,655	0,0236	-1,003	-0,135	6,050	-12,722	-14,467	161,321	-0,3037	-0,345	3,851
6,100	-11,753	1,854	141,372	-0,2806	0,044	3,375	6,100	13,069	5,278	-148,912	0,3120	0,126	-3,555	6,100	-11,660	-11,954	143,414	-0,2784	-0,285	3,424	6,100	-2,606	-41,532	35,814	-0,0622	-0,992	0,855	6,100	-9,588	33,128	108,385	-0,2289	0,791	2,588	6,100	8,630	-32,076	-96,447	0,2060	-0,766	-2,303	6,100	2,744	-41,736	-29,688	0,0655	-0,996	-0,709	6,100	13,000	0,471	-148,126	0,3103	0,011	-3,536	6,100	-5,272	37,118	56,706	-0,1259	0,886	1,354	6,100	-4,359	43,872	46,024	-0,1041	1,047	1,099	6,100	-11,424	21,897	130,219	-0,2727	0,523	3,109	6,100	12,079	-10,493	-133,675	0,2884	-0,251	-3,191	6,100	-11,523	-6,896	140,272	-0,2751	-0,165	3,349	6,100	-11,327	-7,006	138,701	-0,2704	-0,167	3,311	6,100	-2,573	44,029	23,719	-0,0614	1,051	0,566	6,100	11,264	-19,368	-124,564	0,2689	-0,462	-2,974	6,100	-3,409	-39,631	45,867	-0,0814	-0,946	1,095	6,100	12,516	-9,880	-138,387	0,2988	-0,236	-3,304	6,100	-1,118	-41,720	19,007	-0,0267	-0,996	0,454	6,100	-13,242	-6,173	166,033	-0,3161	-0,147	3,964
6,150	-11,483	8,765	134,146	-0,2741	0,209	3,202	6,150	13,144	-2,183	-147,655	0,3138	-0,052	-3,525	6,150	-12,076	-4,602	147,498	-0,2883	-0,110	3,521	6,150	-4,635	-39,176	58,277	-0,1107	-0,935	1,391	6,150	-7,796	38,123	87,965	-0,1861	0,910	2,100	6,150	6,904	-36,490	-77,126	0,1648	-0,871	-1,841	6,150	0,619	-42,679	-5,027	0,0148	-1,019	-0,120	6,150	12,838	-6,880	-144,828	0,3065	-0,164	-3,458	6,150	-3,346	39,364	34,400	-0,0799	0,940	0,821	6,150	-2,111	45,553	20,892	-0,0504	1,088	0,499	6,150	-10,166	28,102	115,768	-0,2427	0,671	2,764	6,150	11,387	-17,012	-125,193	0,2718	-0,406	-2,989	6,150	-11,691	0,173	139,644	-0,2791	0,004	3,334	6,150	-11,503	-0,016	138,230	-0,2746	-3,750E-4	3,300	6,150	-0,341	44,485	-3,613	-0,0081	1,062	-0,086	6,150	10,139	-25,321	-111,055	0,2421	-0,605	-2,651	6,150	-5,331	-36,725	68,173	-0,1273	-0,877	1,628	6,150	11,849	-16,650	-130,690	0,2829	-0,398	-3,120	6,150	-3,182	-40,102	45,082	-0,0760	-0,957	1,076	6,150	-13,339	2,136	162,420	-0,3185	0,051	3,878
6,200	-10,876	15,268	125,193	-0,2597	0,365	2,989	6,200	12,851	-9,488	-142,943	0,3068	-0,227	-3,412	6,200	-12,120	2,796	145,770	-0,2893	0,067	3,480	6,200	-6,524	-35,704	81,839	-0,1557	-0,852	1,954	6,200	-5,776	41,925	62,204	-0,1379	1,001	1,485	6,200	4,981	-39,788	-54,035	0,1189	-0,950	-1,290	6,200	-1,524	-42,239	21,834	-0,0364	-1,008	0,521	6,200	12,312	-14,012	-137,916	0,2939	-0,335	-3,292	6,200	-1,335	40,558	11,467	-0,0319	0,968	0,274	6,200	0,196	45,962	-7,069	0,0047	1,097	-0,169	6,200	-8,614	33,474	96,290	-0,2057	0,799	2,299	6,200	10,378	-23,012	-112,783	0,2478	-0,549	-2,693	6,200	-11,506	7,069	134,303	-0,2747	0,169	3,206	6,200	-11,329	6,817	133,204	-0,2704	0,163	3,180	6,200	1,876	43,668	-27,803	0,0448	1,043	-0,664	6,200	8,732	-30,473	-94,405	0,2085	-0,728	-2,254	6,200	-7,081	-32,814	88,122	-0,1690	-0,783	2,104	6,200	10,851	-22,949	-118,595	0,2591	-0,548	-2,831	6,200	-5,129	-37,212	67,858	-0,1224	-0,888	1,620	6,200	-13,028	10,069	153,310	-0,3110	0,240	3,660
6,250	-9,956	21,284	114,511	-0,2377	0,508	2,734	6,250	12,196	-16,478	-134,303	0,2911	-0,393	-3,206	6,250	-11,797	9,975	139,173	-0,2816	0,238	3,322	6,250	-8,206	-30,992	103,673	-0,1959	-0,740	2,475	6,250	-3,603	44,344	36,443	-0,0860	1,059	0,870	6,250	2,925	-41,893	-31,102	0,0698	-1,000	-0,742	6,250	-3,605	-40,495	45,553	-0,0861	-0,967	1,088	6,250	11,437	-20,672	-126,606	0,2730	-0,493	-3,022	6,250	0,710	40,511	-14,294	0,0169	0,967	-0,341	6,250	2,485	44,846	-34,243	0,0593	1,071	-0,818	6,250	-6,819	37,731	73,985	-0,1628	0,901	1,766	6,250	9,085	-28,290	-97,389	0,2169	-0,675	-2,325	6,250	-10,985	13,603	126,606	-0,2622	0,325	3,022	6,250	-10,821	13,305	125,664	-0,2583	0,318	3,000	6,250	4,026	41,705	-52,465	0,0961	0,996	-1,253	6,250	7,092	-34,762	-76,969	0,1693	-0,830	-1,837	6,250	-8,613	-27,913	107,443	-0,2056	-0,666	2,565	6,250	9,554	-28,510	-102,573	0,2281	-0,681	-2,449	6,250	-6,904	-33,317	87,965	-0,1648	-0,795	2,100	6,250	-12,332	17,467	142,157	-0,2944	0,417	3,394
6,300	-8,748	26,719	100,845	-0,2088	0,638	2,408	6,300	11,203	-22,918	-122,051	0,2675	-0,547	-2,914	6,300	-11,123	16,713	128,962	-0,2655	0,399	3,079	6,300	-9,623	-25,337	119,852	-0,2297	-0,605	2,861	6,300	-1,341	45,569	10,210	-0,0320	1,088	0,244	6,300	0,792	-42,898	-6,597	0,0189	-1,024	-0,157	6,300	-5,573	-37,683	68,173	-0,1330	-0,900	1,627	6,300	10,245	-26,672	-113,569	0,2446	-0,637	-2,711	6,300	2,716	39,129	-37,699	0,0648	0,934	-0,900	6,300	4,681	42,537	-57,491	0,1117	1,015	-1,372	6,300	-4,841	40,872	51,522	-0,1156	0,976	1,230	6,300	7,549	-32,751	-80,896	0,1802	-0,782	-1,931	6,300	-10,146	19,729	116,553	-0,2422	0,471	2,783	6,300	-9,998	19,384	115,454	-0,2387	0,463	2,756	6,300	6,046	38,422	-75,870	0,1443	0,917	-1,811	6,300	5,256	-38,170	-56,706	0,1255	-0,911	-1,354	6,300	-9,872	-22,070	123,465	-0,2357	-0,527	2,947	6,300	8,000	-33,207	-85,608	0,1910	-0,793	-2,044	6,300	-8,460	-28,416	107,757	-0,2020	-0,678	2,572	6,300	-11,281	24,285	130,062	-0,2693	0,580	3,105
6,350	-7,284	31,369	82,310	-0,1739	0,749	1,965	6,350	9,904	-28,683	-108,071	0,2364	-0,685	-2,580	6,350	-10,125	22,871	116,553	-0,2417	0,546	2,783	6,350	-10,740	-19,007	132,732	-0,2564	-0,454	3,169	6,350	0,953	45,365	-17,907	0,0228	1,083	-0,427	6,350	-1,365	-42,553	20,106	-0,0326	-1,016	0,480	6,350	-7,373	-33,678	91,577	-0,1760	-0,804	2,186	6,350	8,770	-32,029	-98,489	0,2094	-0,765	-2,351	6,350	4,623	36,741	-57,648	0,1104	0,877	-1,376	6,350	6,739	39,097	-81,524	0,1609	0,933	-1,946	6,350	-2,732	42,883	25,761	-0,0652	1,024	0,615	6,350	5,810	-36,380	-62,361	0,1387	-0,868	-1,489	6,350	-9,012	25,258	102,102	-0,2151	0,603	2,438	6,350	-8,883	24,850	101,316	-0,2121	0,593	2,419	6,350	7,868	34,118	-94,562	0,1878	0,815	-2,257	6,350	3,275	-40,432	-32,987	0,0782	-0,965	-0,788	6,350	-10,820	-15,567	134,303	-0,2583	-0,372	3,206	6,350	6,233	-37,071	-66,916	0,1488	-0,885	-1,598	6,350	-9,745	-22,541	124,250	-0,2326	-0,538	2,966	6,350	-9,904	30,473	114,511	-0,2364	0,727	2,734
6,400	-5,611	34,950	60,319	-0,1340	0,834	1,440	6,400	8,335	-33,725	-91,577	0,1990	-0,805	-2,186	6,400	-8,836	28,369	101,631	-0,2109	0,677	2,426	6,400	-11,523	-12,064	143,571	-0,2751	-0,288	3,427	6,400	3,195	43,778	-42,883	0,0763	1,045	-1,024	6,400	-3,464	-40,888	44,139	-0,0827	-0,976	1,054	6,400	-8,941	-28,526	110,898	-0,2134	-0,681	2,648	6,400	7,042	-36,521	-78,226	0,1681	-0,872	-1,868	6,400	6,390	33,364	-77,912	0,1525	0,797	-1,860	6,400	8,591	34,385	-103,358	0,2051	0,821	-2,468	6,400	-0,553	43,448	-1,414	-0,0132	1,037	-0,034	6,400	3,911	-38,987	-39,741	0,0934	-0,931	-0,949	6,400	-7,620	29,939	84,038	-0,1819	0,715	2,006	6,400	-7,513	29,515	83,724	-0,1794	0,705	1,999	6,400	9,458	28,966	-111,527	0,2258	0,692	-2,663	6,400	1,213	-41,469	-9,582	0,0289	-0,990	-0,229	6,400	-11,429	-8,639	140,272	-0,2728	-0,206	3,349	6,400	4,293	-39,898	-43,982	0,1025	-0,953	-1,050	6,400	-10,714	-15,991	135,089	-0,2558	-0,382	3,225	6,400	-8,234	35,736	93,148	-0,1966	0,853	2,224
6,450	-3,789	37,401	39,113	-0,0905	0,893	0,934	6,450	6,531	-37,841	-70,058	0,1559	-0,903	-1,672	6,450	-7,289	33,034	82,467	-0,1740	0,789	1,969	6,450	-11,946	-4,650	148,126	-0,2852	-0,111	3,536	6,450	5,331	41,076	-66,131	0,1273	0,981	-1,579	6,450	-5,454	-38,139	67,230	-0,1302	-0,911	1,605	6,450	-10,226	-22,588	125,193	-0,2441	-0,539	2,989	6,450	5,118	-39,851	-55,135	0,1222	-0,951	-1,316	6,450	7,959	28,950	-96,133	0,1900	0,691	-2,295	6,450	10,177	28,761	-118,909	0,2430	0,687	-2,839	6,450	1,613	42,741	-24,819	0,0385	1,020	-0,593	6,450	1,912	-40,354	-16,336	0,0456	-0,963	-0,390	6,450	-6,018	33,662	64,874	-0,1437	0,804	1,549	6,450	-5,931	33,222	64,717	-0,1416	0,793	1,545	6,450	10,765	22,965	-126,449	0,2570	0,548	-3,019	6,450	-0,872	-41,391	14,294	-0,0208	-0,988	0,341	6,450	-11,684	-1,539	140,586	-0,2789	-0,037	3,356	6,450	2,243	-41,469	-20,106	0,0536	-0,990	-0,480	6,450	-11,344	-9,032	141,215	-0,2708	-0,216	3,371	6,450	-6,330	39,788	69,743	-0,1511	0,950	1,665
6,500	-1,871	38,862	17,907	-0,0447	0,928	0,427	6,500	4,551	-40,731	-46,810	0,1086	-0,972	-1,117	6,500	-5,532	36,615	59,690	-0,1321	0,874	1,425	6,500	-11,988	2,749	143,885	-0,2862	0,066	3,435	6,500	7,303	37,165	-89,535	0,1743	0,887	-2,138	6,500	-7,278	-34,165	90,949	-0,1737	-0,816	2,171	6,500	-11,200	-16,006	137,445	-0,2674	-0,382	3,281	6,500	3,057	-42,035	-32,830	0,0730	-1,003	-0,784	6,500	9,285	23,750	-109,799	0,2217	0,567	-2,621	6,500	11,467	22,494	-131,790	0,2737	0,537	-3,146	6,500	3,721	40,966	-48,066	0,0888	0,978	-1,148	6,500	-0,124	-40,621	5,969	-0,0030	-0,970	0,143	6,500	-4,254	36,427	44,296	-0,1015	0,870	1,057	6,500	-4,191	35,987	44,768	-0,1000	0,859	1,069	6,500	11,754	16,321	-137,288	0,2806	0,390	-3,278	6,500	-2,926	-40,040	40,055	-0,0699	-0,956	0,956	6,500	-11,583	5,419	135,874	-0,2765	0,129	3,244	6,500	0,146	-41,909	3,142	0,0035	-1,000	0,075	6,500	-11,618	-1,869	142,000	-0,2773	-0,045	3,390	6,500	-4,255	42,710	46,181	-0,1016	1,020	1,102
6,550	0,097	39,191	-6,754	0,0023	0,936	-0,161	6,550	2,458	-42,521	-24,504	0,0587	-1,015	-0,585	6,550	-3,627	39,003	37,228	-0,0866	0,931	0,889	6,550	-11,671	9,739	135,560	-0,2786	0,232	3,236	6,550	9,048	32,123	-109,013	0,2160	0,767	-2,602	6,550	-8,870	-29,044	110,584	-0,2118	-0,693	2,640	6,550	-11,827	-8,844	145,613	-0,2823	-0,211	3,476	6,550	0,914	-43,134	-8,639	0,0218	-1,030	-0,206	6,550	10,334	17,970	-120,323	0,2467	0,429	-2,872	6,550	12,427	15,582	-143,100	0,2967	0,372	-3,416	6,550	5,710	37,935	-71,628	0,1363	0,906	-1,710	6,550	-2,150	-39,757	31,102	-0,0513	-0,949	0,743	6,550	-2,375	38,092	20,892	-0,0567	0,909	0,499	6,550	-2,333	37,699	21,363	-0,0557	0,900	0,510	6,550	12,397	9,236	-143,414	0,2960	0,220	-3,424	6,550	-4,876	-37,385	63,303	-0,1164	-0,892	1,511	6,550	-11,142	12,048	128,648	-0,2660	0,288	3,071	6,550	-1,948	-41,155	28,589	-0,0465	-0,982	0,682	6,550	-11,531	5,168	137,445	-0,2753	0,123	3,281	6,550	-2,059	44,406	19,164	-0,0492	1,060	0,458
6,600	2,048	38,186	-30,159	0,0489	0,912	-0,720	6,600	0,298	-43,181	1,257	0,0071	-1,031	0,030	6,600	-1,632	40,338	14,765	-0,0390	0,963	0,353	6,600	-11,014	16,305	126,292	-0,2629	0,389	3,015	6,600	10,515	26,264	-123,308	0,2510	0,627	-2,944	6,600	-10,182	-23,106	125,035	-0,2431	-0,552	2,985	6,600	-12,084	-1,445	146,241	-0,2885	-0,035	3,491	6,600	-1,257	-42,898	18,535	-0,0300	-1,024	0,442	6,600	11,082	11,718	-128,334	0,2646	0,280	-3,064	6,600	13,025	8,184	-149,383	0,3109	0,195	-3,566	6,600	7,515	33,804	-90,949	0,1794	0,807	-2,171	6,600	-4,100	-37,511	55,606	-0,0979	-0,895	1,327	6,600	-0,445	38,516	-2,827	-0,0106	0,919	-0,067	6,600	-0,421	38,123	-2,356	-0,0100	0,910	-0,056	6,600	12,678	1,979	-144,356	0,3027	0,047	-3,446	6,600	-6,665	-33,709	83,252	-0,1591	-0,805	1,987	6,600	-10,378	18,284	119,381	-0,2478	0,437	2,850	6,600	-3,969	-39,050	53,250	-0,0948	-0,932	1,271	6,600	-11,101	11,875	130,376	-0,2650	0,284	3,113	6,600	0,185	44,626	-8,011	0,0044	1,065	-0,191
6,650	3,916	36,175	-49,480	0,0935	0,864	-1,181	6,650	-1,860	-42,396	27,960	-0,0444	-1,012	0,668	6,650	0,407	40,479	-10,524	0,0097	0,966	-0,251	6,650	-10,041	22,368	115,297	-0,2397	0,534	2,753	6,650	11,674	19,792	-135,403	0,2787	0,473	-3,233	6,650	-11,181	-16,540	136,974	-0,2669	-0,395	3,270	6,650	-11,971	5,781	140,586	-0,2858	0,138	3,356	6,650	-3,376	-41,281	43,197	-0,0806	-0,986	1,031	6,650	11,506	5,137	-132,418	0,2747	0,123	-3,161	6,650	13,245	0,644	-149,540	0,3162	0,015	-3,570	6,650	9,090	28,840	-107,128	0,2170	0,689	-2,558	6,650	-5,901	-34,196	75,241	-0,1409	-0,816	1,796	6,650	1,477	37,809	-24,033	0,0353	0,903	-0,574	6,650	1,480	37,464	-22,934	0,0353	0,894	-0,548	6,650	12,595	-5,199	-141,058	0,3007	-0,124	-3,368	6,650	-8,247	-29,060	102,730	-0,1969	-0,694	2,453	6,650	-9,313	23,986	106,343	-0,2223	0,573	2,539	6,650	-5,853	-35,830	74,613	-0,1397	-0,855	1,781	6,650	-10,344	18,206	120,951	-0,2469	0,435	2,888	6,650	2,403	43,605	-32,201	0,0574	1,041	-0,769
6,700	5,666	33,238	-68,958	0,1353	0,794	-1,646	6,700	-3,941	-40,385	51,208	-0,0941	-0,964	1,223	6,700	2,416	39,286	-34,243	0,0577	0,938	-0,818	6,700	-8,778	27,835	101,316	-0,2095	0,665	2,419	6,700	12,494	12,723	-144,985	0,2983	0,304	-3,461	6,700	-11,836	-9,409	145,613	-0,2826	-0,225	3,476	6,700	-11,506	12,614	131,790	-0,2747	0,301	3,146	6,700	-5,385	-38,579	66,131	-0,1286	-0,921	1,579	6,700	11,596	-1,524	-131,633	0,2768	-0,036	-3,143	6,700	13,089	-6,770	-145,927	0,3125	-0,162	-3,484	6,700	10,399	23,091	-121,894	0,2482	0,551	-2,910	6,700	-7,519	-29,987	94,405	-0,1795	-0,716	2,254	6,700	3,336	36,113	-44,454	0,0797	0,862	-1,061	6,700	3,325	35,830	-43,197	0,0794	0,855	-1,031	6,700	12,158	-12,127	-134,932	0,2903	-0,290	-3,221	6,700	-9,571	-23,436	120,009	-0,2285	-0,560	2,865	6,700	-7,980	28,918	88,907	-0,1905	0,690	2,122	6,700	-7,552	-31,589	95,190	-0,1803	-0,754	2,273	6,700	-9,280	23,970	107,914	-0,2215	0,572	2,576	6,700	4,546	41,406	-57,020	0,1085	0,989	-1,361
6,750	7,240	29,280	-88,279	0,1728	0,699	-2,108	6,750	-5,898	-37,275	74,613	-0,1408	-0,890	1,781	6,750	4,335	37,055	-54,821	0,1035	0,885	-1,309	6,750	-7,257	32,500	82,624	-0,1732	0,776	1,972	6,750	12,947	5,294	-148,912	0,3091	0,126	-3,555	6,750	-12,122	-1,979	147,341	-0,2894	-0,047	3,517	6,750	-10,710	18,960	121,108	-0,2557	0,453	2,891	6,750	-7,234	-34,668	90,007	-0,1727	-0,828	2,149	6,750	11,354	-8,027	-126,920	0,2710	-0,192	-3,030	6,750	12,568	-13,949	-139,173	0,3000	-0,333	-3,322	6,750	11,399	16,650	-133,047	0,2721	0,397	-3,176	6,750	-8,900	-24,756	112,626	-0,2125	-0,591	2,689	6,750	5,088	33,364	-65,031	0,1215	0,797	-1,553	6,750	5,063	33,144	-63,774	0,1209	0,791	-1,523	6,750	11,382	-18,692	-125,821	0,2717	-0,446	-3,004	6,750	-10,590	-17,059	132,104	-0,2528	-0,407	3,154	6,750	-6,421	32,877	69,743	-0,1533	0,785	1,665	6,750	-9,012	-26,311	114,040	-0,2151	-0,628	2,723	6,750	-7,947	28,997	91,106	-0,1897	0,692	2,175	6,750	6,544	37,903	-79,639	0,1562	0,905	-1,901
6,800	8,594	24,410	-103,830	0,2052	0,583	-2,479	6,800	-7,669	-32,924	97,547	-0,1831	-0,786	2,329	6,800	6,121	33,804	-75,398	0,1461	0,807	-1,800	6,800	-5,528	36,097	60,319	-0,1320	0,862	1,440	6,800	13,023	-2,168	-147,812	0,3109	-0,052	-3,529	6,800	-12,034	5,325	142,000	-0,2873	0,127	3,390	6,800	-9,610	24,724	109,013	-0,2294	0,590	2,603	6,800	-8,851	-29,578	110,113	-0,2113	-0,706	2,629	6,800	10,793	-14,216	-119,381	0,2577	-0,339	-2,850	6,800	11,695	-20,687	-128,020	0,2792	-0,494	-3,056	6,800	12,064	9,786	-139,330	0,2880	0,234	-3,326	6,800	-9,995	-18,724	125,821	-0,2386	-0,447	3,004	6,800	6,673	29,610	-82,467	0,1593	0,707	-1,969	6,800	6,640	29,452	-81,367	0,1585	0,703	-1,943	6,800	10,289	-24,709	-112,469	0,2456	-0,590	-2,685	6,800	-11,277	-10,226	139,016	-0,2692	-0,244	3,319	6,800	-4,692	35,893	49,794	-0,1120	0,857	1,189	6,800	-10,183	-20,185	128,334	-0,2431	-0,482	3,064	6,800	-6,381	33,081	71,471	-0,1523	0,790	1,706	6,800	8,336	33,442	-97,861	0,1990	0,798	-2,336
