Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #6;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #7;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #8;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #9;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #10;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #11;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #12;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #13;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14;Messreihe #14
1,400;4,571;20,766;-4,398;0,1091;0,496;-0,105;1,400;3,632;24,693;30,316;0,0867;0,589;0,724;1,400;13,404;17,452;-95,819;0,3200;0,417;-2,287;1,400;7,678;29,154;-11,310;0,1833;0,696;-0,270;1,400;8,165;23,750;-7,069;0,1949;0,567;-0,169;1,400;8,385;23,641;-53,564;0,2002;0,564;-1,279;1,400;8,248;24,740;-8,325;0,1969;0,591;-0,199;1,400;9,081;21,410;-27,960;0,2168;0,511;-0,667;1,400;2,004;2,592;27,803;0,0479;0,062;0,664;1,400;11,947;21,677;-104,458;0,2852;0,517;-2,494;1,400;9,554;25,902;-27,018;0,2281;0,618;-0,645;1,400;14,323;10,336;-134,932;0,3419;0,247;-3,221;1,400;11,541;24,897;-76,027;0,2755;0,594;-1,815;1,400;14,027;9,173;-99,746;0,3349;0,219;-2,381
1,450;5,601;20,122;-16,179;0,1337;0,480;-0,386;1,450;4,906;25,086;-13,509;0,1171;0,599;-0,322;1,450;14,147;11,969;-109,956;0,3377;0,286;-2,625;1,450;9,118;28,180;-26,389;0,2177;0,673;-0,630;1,450;9,351;23,044;-28,117;0,2232;0,550;-0,671;1,450;9,499;21,457;-34,558;0,2268;0,512;-0,825;1,450;9,478;24,033;-24,347;0,2263;0,574;-0,581;1,450;10,113;19,635;-46,653;0,2414;0,469;-1,114;1,450;2,177;3,880;21,677;0,0520;0,093;0,518;1,450;12,898;15,645;-105,715;0,3079;0,374;-2,524;1,450;10,828;24,096;-61,104;0,2585;0,575;-1,459;1,450;14,652;4,304;-96,133;0,3498;0,103;-2,295;1,450;12,690;20,043;-112,469;0,3030;0,478;-2,685;1,450;14,351;4,445;-75,084;0,3426;0,106;-1,792
1,500;6,583;19,148;-13,666;0,1572;0,457;-0,326;1,500;6,140;23,342;-46,024;0,1466;0,557;-1,099;1,500;14,601;6,456;-103,044;0,3486;0,154;-2,460;1,500;10,496;26,515;-45,396;0,2506;0,633;-1,084;1,500;10,469;20,939;-51,365;0,2499;0,500;-1,226;1,500;10,531;20,185;-36,128;0,2514;0,482;-0,863;1,500;10,652;22,305;-40,212;0,2543;0,533;-0,960;1,500;11,044;16,745;-56,549;0,2637;0,400;-1,350;1,500;2,392;4,760;20,735;0,0571;0,114;0,495;1,500;13,512;11,106;-72,414;0,3226;0,265;-1,729;1,500;11,963;19,792;-104,772;0,2856;0,473;-2,501;1,500;14,753;0,723;-44,768;0,3522;0,017;-1,069;1,500;13,545;13,650;-114,668;0,3234;0,326;-2,737;1,500;14,472;1,665;-32,044;0,3455;0,040;-0,765
1,550;7,516;18,755;-3,456;0,1794;0,448;-0,083;1,550;7,240;20,483;-49,951;0,1728;0,489;-1,193;1,550;14,792;1,665;-65,816;0,3531;0,040;-1,571;1,550;11,770;23,641;-71,628;0,2810;0,564;-1,710;1,550;11,445;17,907;-58,434;0,2732;0,427;-1,395;1,550;11,517;17,844;-67,387;0,2749;0,426;-1,609;1,550;11,709;20,012;-46,810;0,2795;0,478;-1,118;1,550;11,787;13,980;-37,228;0,2814;0,334;-0,889;1,550;2,653;5,953;26,232;0,0633;0,142;0,626;1,550;14,008;8,404;-52,779;0,3344;0,201;-1,260;1,550;12,807;13,619;-118,438;0,3057;0,325;-2,827;1,550;14,725;-0,173;-6,440;0,3515;-0,004;-0,154;1,550;14,055;8,577;-73,356;0,3355;0,205;-1,751;1,550;14,517;1,241;5,184;0,3466;0,030;0,124
1,600;8,459;18,802;-1,414;0,2019;0,449;-0,034;1,600;8,189;18,347;-30,788;0,1955;0,438;-0,735;1,600;14,767;-0,126;-15,865;0,3525;-0,003;-0,379;1,600;12,860;19,352;-88,279;0,3070;0,462;-2,107;1,600;12,260;15,095;-53,721;0,2927;0,360;-1,283;1,600;12,315;13,446;-77,283;0,2940;0,321;-1,845;1,600;12,653;17,624;-54,821;0,3021;0,421;-1,309;1,600;12,442;13,022;-21,206;0,2970;0,311;-0,506;1,600;2,988;7,383;27,018;0,0713;0,176;0,645;1,600;14,352;5,828;-39,584;0,3426;0,139;-0,945;1,600;13,325;7,948;-90,635;0,3181;0,190;-2,164;1,600;14,736;0,079;0,314;0,3518;0,002;0,007;1,600;14,403;6,315;-45,553;0,3438;0,151;-1,088;1,600;14,596;2,183;8,168;0,3484;0,052;0,195
1,650;9,397;18,614;-3,142;0,2243;0,444;-0,075;1,650;9,074;17,404;-17,593;0,2166;0,415;-0,420;1,650;14,780;0,079;0,785;0,3528;0,002;0,019;1,650;13,705;14,813;-95,190;0,3272;0,354;-2,272;1,650;12,954;12,535;-52,465;0,3093;0,299;-1,252;1,650;12,862;10,116;-43,040;0,3070;0,241;-1,027;1,650;13,471;14,530;-69,272;0,3216;0,347;-1,654;1,650;13,089;11,860;-38,013;0,3125;0,283;-0,907;1,650;3,391;8,655;19,949;0,0810;0,207;0,476;1,650;14,591;4,445;-33,458;0,3483;0,106;-0,799;1,650;13,602;4,555;-46,653;0,3247;0,109;-1,114;1,650;14,733;-0,141;-25,918;0,3517;-0,003;-0,619;1,650;14,687;4,021;-54,193;0,3506;0,096;-1,294;1,650;14,736;2,058;-16,808;0,3518;0,049;-0,401
1,700;10,320;18,488;-6,126;0,2464;0,441;-0,146;1,700;9,929;16,588;-22,777;0,2370;0,396;-0,544;1,700;14,775;-0,047;-3,613;0,3527;-0,001;-0,086;1,700;14,341;9,833;-103,987;0,3424;0,235;-2,483;1,700;13,514;9,849;-53,407;0,3226;0,235;-1,275;1,700;13,327;9,142;-15,708;0,3181;0,218;-0,375;1,700;14,106;10,697;-81,367;0,3367;0,255;-1,942;1,700;13,628;9,221;-58,120;0,3254;0,220;-1,387;1,700;3,853;9,378;13,509;0,0920;0,224;0,323;1,700;14,797;2,482;-39,427;0,3533;0,059;-0,941;1,700;13,781;3,283;-15,551;0,3290;0,078;-0,371;1,700;14,722;-2,513;-84,823;0,3514;-0,060;-2,025;1,700;14,805;0,895;-42,254;0,3534;0,021;-1,009;1,700;14,802;0,503;-21,834;0,3534;0,012;-0,521
1,750;11,245;18,001;-27,018;0,2685;0,430;-0,645;1,750;10,733;15,127;-36,600;0,2562;0,361;-0,874;1,750;14,775;-0,283;-33,929;0,3527;-0,007;-0,810;1,750;14,689;4,414;-89,850;0,3507;0,105;-2,145;1,750;13,939;7,194;-42,412;0,3328;0,172;-1,013;1,750;13,776;8,545;-12,409;0,3289;0,204;-0,296;1,750;14,541;6,393;-85,451;0,3471;0,153;-2,040;1,750;14,012;6,048;-55,292;0,3345;0,144;-1,320;1,750;4,329;10,006;22,462;0,1033;0,239;0,536;1,750;14,839;0,503;-25,447;0,3543;0,012;-0,608;1,750;13,930;3,000;-2,670;0,3325;0,072;-0,064;1,750;14,481;-8,624;-134,303;0,3457;-0,206;-3,206;1,750;14,776;-0,204;-11,310;0,3528;-0,005;-0,270;1,750;14,786;-0,126;-4,555;0,3530;-0,003;-0,109
1,800;12,120;15,787;-53,721;0,2893;0,377;-1,283;1,800;11,442;12,928;-45,239;0,2732;0,309;-1,080;1,800;14,747;-3,440;-97,861;0,3521;-0,082;-2,336;1,800;14,783;0,848;-45,553;0,3529;0,020;-1,087;1,800;14,233;5,608;-17,593;0,3398;0,134;-0,420;1,800;14,181;7,901;-14,451;0,3385;0,189;-0,345;1,800;14,745;2,152;-61,732;0,3520;0,051;-1,474;1,800;14,233;3,691;-32,201;0,3398;0,088;-0,769;1,800;4,854;11,624;34,872;0,1159;0,277;0,832;1,800;14,847;-0,063;-6,126;0,3545;-0,001;-0,146;1,800;14,081;3,016;2,042;0,3361;0,072;0,049;1,800;13,859;-15,944;-139,330;0,3309;-0,381;-3,326;1,800;14,784;-0,236;-0,628;0,3529;-0,006;-0,015;1,800;14,789;0,047;1,728;0,3531;0,001;0,041
1,850;12,824;12,629;-62,989;0,3061;0,301;-1,504;1,850;12,026;10,603;-46,024;0,2871;0,253;-1,099;1,850;14,431;-10,069;-138,230;0,3445;-0,240;-3,300;1,850;14,773;-0,141;-15,551;0,3527;-0,003;-0,371;1,850;14,500;5,435;-25,133;0,3462;0,130;-0,600;1,850;14,566;7,100;-45,082;0,3477;0,170;-1,076;1,850;14,756;0,220;-20,735;0,3523;0,005;-0,495;1,850;14,381;2,827;-8,482;0,3433;0,067;-0,202;1,850;5,492;13,493;37,071;0,1311;0,322;0,885;1,850;14,833;-0,110;-2,199;0,3541;-0,003;-0,052;1,850;14,231;3,204;3,142;0,3397;0,076;0,075;1,850;12,887;-22,557;-123,622;0,3076;-0,538;-2,951;1,850;14,753;-0,267;4,241;0,3522;-0,006;0,101;1,850;14,791;0,047;-2,513;0,3531;0,001;-0,060
1,900;13,383;9,488;-63,617;0,3195;0,226;-1,519;1,900;12,502;8,325;-41,469;0,2985;0,199;-0,990;1,900;13,740;-17,263;-136,659;0,3280;-0,412;-3,263;1,900;14,769;-0,707;-44,925;0,3526;-0,017;-1,072;1,900;14,776;3,094;-52,465;0,3528;0,074;-1,252;1,900;14,891;3,393;-80,739;0,3555;0,081;-1,928;1,900;14,767;0,079;-2,042;0,3525;0,002;-0,049;1,900;14,516;2,843;3,142;0,3465;0,068;0,075;1,900;6,203;15,331;41,312;0,1481;0,366;0,986;1,900;14,836;-0,283;-36,914;0,3542;-0,007;-0,881;1,900;14,401;3,330;-5,027;0,3438;0,080;-0,120;1,900;11,603;-28,306;-104,301;0,2770;-0,676;-2,490;1,900;14,758;0,188;2,670;0,3523;0,005;0,064;1,900;14,794;-0,204;-32,044;0,3532;-0,005;-0,765
1,950;13,773;6,267;-49,166;0,3288;0,150;-1,174;1,950;12,859;6,456;-33,301;0,3070;0,154;-0,795;1,950;12,705;-23,735;-120,480;0,3033;-0,567;-2,876;1,950;14,703;-4,634;-109,485;0,3510;-0,111;-2,614;1,950;14,809;0,188;-32,044;0,3535;0,005;-0,765;1,950;14,905;-0,974;-44,139;0,3558;-0,023;-1,054;1,950;14,764;0,016;-0,314;0,3525;3,750E-4;-0,007;1,950;14,665;3,142;-13,509;0,3501;0,075;-0,323;1,950;7,025;17,624;45,082;0,1677;0,421;1,076;1,950;14,805;-3,801;-104,458;0,3534;-0,091;-2,494;1,950;14,564;2,702;-13,823;0,3477;0,065;-0,330;1,950;10,056;-32,987;-80,582;0,2401;-0,788;-1,924;1,950;14,772;0,000;-37,228;0,3526;0,000;-0,889;1,950;14,770;-3,157;-94,405;0,3526;-0,075;-2,254
2,000;14,010;4,571;-19,478;0,3345;0,109;-0,465;2,000;13,148;4,995;-23,719;0,3139;0,119;-0,566;2,000;11,366;-29,311;-100,374;0,2714;-0,700;-2,396;2,000;14,305;-11,655;-140,743;0,3415;-0,278;-3,360;2,000;14,795;-0,110;-1,728;0,3532;-0,003;-0,041;2,000;14,794;-1,021;10,053;0,3532;-0,024;0,240;2,000;14,769;0,047;0,157;0,3526;0,001;0,004;2,000;14,830;1,492;-32,201;0,3540;0,036;-0,769;2,000;7,966;19,839;36,128;0,1902;0,474;0,862;2,000;14,456;-10,729;-140,743;0,3451;-0,256;-3,360;2,000;14,671;1,948;-19,635;0,3502;0,046;-0,469;2,000;8,305;-36,364;-56,235;0,1983;-0,868;-1,342;2,000;14,758;-3,534;-105,715;0,3523;-0,084;-2,524;2,000;14,478;-9,645;-137,288;0,3456;-0,230;-3,278
2,050;14,230;4,320;-14,765;0,3397;0,103;-0,353;2,050;13,358;4,084;-9,268;0,3189;0,097;-0,221;2,050;9,774;-33,772;-76,184;0,2333;-0,806;-1,819;2,050;13,537;-18,708;-133,204;0,3232;-0,447;-3,180;2,050;14,798;0,016;-10,210;0,3533;3,750E-4;-0,244;2,050;14,803;0,031;9,739;0,3534;7,500E-4;0,233;2,050;14,769;0,031;-4,869;0,3526;7,500E-4;-0,116;2,050;14,814;-0,079;-14,137;0,3537;-0,002;-0,337;2,050;9,009;21,237;17,593;0,2151;0,507;0,420;2,050;13,732;-17,876;-135,403;0,3278;-0,427;-3,233;2,050;14,759;0,738;-19,792;0,3523;0,018;-0,472;2,050;6,420;-38,610;-35,029;0,1533;-0,922;-0,836;2,050;14,418;-10,571;-142,157;0,3442;-0,252;-3,394;2,050;13,806;-16,886;-137,288;0,3296;-0,403;-3,277
2,100;14,442;3,094;-28,274;0,3448;0,074;-0,675;2,100;13,556;4,068;2,513;0,3236;0,097;0,060;2,100;7,989;-36,929;-51,993;0,1907;-0,882;-1,241;2,100;12,434;-24,976;-116,239;0,2969;-0,596;-2,775;2,100;14,797;-1,131;-58,277;0,3532;-0,027;-1,391;2,100;14,797;-0,047;-0,314;0,3532;-0,001;-0,007;2,100;14,772;-0,440;-40,841;0,3527;-0,010;-0,975;2,100;14,822;0,079;0,157;0,3539;0,002;0,004;2,100;10,089;21,598;-5,498;0,2409;0,516;-0,131;2,100;12,668;-24,269;-118,752;0,3024;-0,579;-2,835;2,100;14,745;-0,031;-7,069;0,3520;-7,500E-4;-0,169;2,100;4,444;-39,867;-12,723;0,1061;-0,952;-0,304;2,100;13,700;-17,750;-135,717;0,3271;-0,424;-3,240;2,100;12,789;-23,373;-121,266;0,3053;-0,558;-2,895
2,150;14,539;1,492;-24,190;0,3471;0,036;-0,577;2,150;13,765;4,335;5,341;0,3286;0,103;0,127;2,150;6,081;-38,971;-30,945;0,1452;-0,930;-0,739;2,150;11,040;-30,332;-95,190;0,2636;-0,724;-2,272;2,150;14,685;-5,812;-118,909;0,3506;-0,139;-2,839;2,150;14,798;0,000;0,314;0,3533;0,000;0,007;2,150;14,725;-4,053;-104,301;0,3515;-0,097;-2,490;2,150;14,822;-0,063;-2,199;0,3539;-0,001;-0,052;2,150;11,168;20,687;-42,412;0,2666;0,494;-1,013;2,150;11,305;-29,751;-98,018;0,2699;-0,710;-2,340;2,150;14,756;0,031;-17,279;0,3523;7,500E-4;-0,412;2,150;2,433;-39,883;11,781;0,0581;-0,952;0,281;2,150;12,643;-24,143;-118,909;0,3018;-0,576;-2,839;2,150;11,468;-29,013;-101,788;0,2738;-0,693;-2,430
2,200;14,591;0,675;-13,823;0,3483;0,016;-0,330;2,200;13,990;4,602;0,942;0,3340;0,110;0,023;2,200;4,092;-40,024;-8,482;0,0977;-0,955;-0,202;2,200;9,401;-34,495;-70,215;0,2244;-0,823;-1,676;2,200;14,216;-13,022;-141,215;0,3394;-0,311;-3,371;2,200;14,797;-0,016;0,000;0,3532;-3,750E-4;0,000;2,200;14,367;-10,870;-139,016;0,3430;-0,259;-3,319;2,200;14,816;-0,141;-4,712;0,3537;-0,003;-0,113;2,200;12,158;17,357;-79,482;0,2902;0,414;-1,898;2,200;9,693;-34,071;-73,513;0,2314;-0,813;-1,755;2,200;14,748;-1,759;-74,927;0,3521;-0,042;-1,789;2,200;0,456;-38,689;33,615;0,0109;-0,924;0,803;2,200;11,286;-29,641;-98,332;0,2694;-0,708;-2,348;2,200;9,888;-33,552;-77,597;0,2361;-0,801;-1,853
2,250;14,607;0,110;-0,628;0,3487;0,003;-0,015;2,250;14,225;4,430;-7,540;0,3396;0,106;-0,180;2,250;2,078;-39,820;16,022;0,0496;-0,951;0,383;2,250;7,590;-37,354;-47,124;0,1812;-0,892;-1,125;2,250;13,383;-19,933;-130,533;0,3195;-0,476;-3,116;2,250;14,797;0,000;-2,042;0,3532;0,000;-0,049;2,250;13,638;-17,954;-134,303;0,3256;-0,429;-3,206;2,250;14,808;-0,534;-30,788;0,3535;-0,013;-0,735;2,250;12,904;12,739;-87,808;0,3081;0,304;-2,096;2,250;7,898;-37,102;-49,951;0,1886;-0,886;-1,193;2,250;14,580;-7,461;-133,361;0,3481;-0,178;-3,184;2,250;-1,436;-36,521;53,093;-0,0343;-0,872;1,268;2,250;9,679;-33,976;-73,827;0,2311;-0,811;-1,763;2,250;8,113;-36,772;-53,093;0,1937;-0,878;-1,268
2,300;14,602;0,613;4,241;0,3486;0,015;0,101;2,300;14,432;3,848;-9,268;0,3445;0,092;-0,221;2,300;0,110;-38,422;37,542;0,0026;-0,917;0,896;2,300;5,666;-39,207;-26,389;0,1353;-0,936;-0,630;2,300;12,222;-26,075;-113,097;0,2918;-0,622;-2,700;2,300;14,797;-0,220;-31,102;0,3532;-0,005;-0,743;2,300;12,571;-24,300;-117,810;0,3001;-0,580;-2,812;2,300;14,762;-3,220;-94,876;0,3524;-0,077;-2,265;2,300;13,432;8,577;-74,142;0,3207;0,205;-1,770;2,300;5,983;-39,066;-28,903;0,1428;-0,933;-0,690;2,300;14,002;-15,095;-143,414;0,3343;-0,360;-3,424;2,300;-3,197;-33,379;71,471;-0,0763;-0,797;1,706;2,300;7,889;-37,024;-50,423;0,1883;-0,884;-1,204;2,300;6,211;-38,862;-32,201;0,1483;-0,928;-0,769
2,350;14,668;0,534;-15,237;0,3502;0,013;-0,364;2,350;14,610;3,503;-21,677;0,3488;0,084;-0,518;2,350;-1,764;-36,066;57,177;-0,0421;-0,861;1,365;2,350;3,669;-39,993;-2,827;0,0876;-0,955;-0,067;2,350;10,776;-31,243;-90,792;0,2572;-0,746;-2,167;2,350;14,775;-3,110;-93,620;0,3527;-0,074;-2,235;2,350;11,208;-29,735;-97,075;0,2676;-0,710;-2,317;2,350;14,486;-10,022;-147,969;0,3458;-0,239;-3,532;2,350;13,762;5,325;-47,438;0,3285;0,127;-1,132;2,350;3,991;-39,993;-5,812;0,0953;-0,955;-0,139;2,350;13,071;-21,803;-125,978;0,3120;-0,520;-3,007;2,350;-4,774;-29,374;86,708;-0,1140;-0,701;2,070;2,350;5,977;-39,019;-29,374;0,1427;-0,931;-0,701;2,350;4,227;-39,993;-10,053;0,1009;-0,955;-0,240
2,400;14,656;-0,911;-50,737;0,3499;-0,022;-1,211;2,400;14,783;1,681;-34,243;0,3529;0,040;-0,818;2,400;-3,497;-32,704;75,241;-0,0835;-0,781;1,796;2,400;1,667;-39,490;21,049;0,0398;-0,943;0,503;2,400;9,098;-35,154;-65,816;0,2172;-0,839;-1,571;2,400;14,486;-9,582;-136,974;0,3458;-0,229;-3,270;2,400;9,598;-34,008;-72,571;0,2291;-0,812;-1,733;2,400;13,760;-18,017;-144,985;0,3285;-0,430;-3,461;2,400;13,964;3,833;-11,310;0,3334;0,091;-0,270;2,400;1,984;-39,647;18,378;0,0474;-0,946;0,439;2,400;11,822;-27,693;-107,285;0,2822;-0,661;-2,561;2,400;-6,134;-24,709;99,746;-0,1464;-0,590;2,381;2,400;3,987;-39,961;-6,283;0,0952;-0,954;-0,150;2,400;2,212;-39,867;14,765;0,0528;-0,952;0,352
2,450;14,577;-4,540;-100,845;0,3480;-0,108;-2,408;2,450;14,778;0,079;-15,551;0,3528;0,002;-0,371;2,450;-5,034;-28,541;89,221;-0,1202;-0,681;2,130;2,450;-0,280;-37,888;41,783;-0,0067;-0,904;0,997;2,450;7,260;-37,825;-43,511;0,1733;-0,903;-1,039;2,450;13,817;-16,808;-137,445;0,3298;-0,401;-3,281;2,450;7,807;-36,992;-49,166;0,1864;-0,883;-1,174;2,450;12,684;-24,520;-119,852;0,3028;-0,585;-2,861;2,450;14,145;4,194;10,210;0,3377;0,100;0,244;2,450;0,027;-38,155;39,270;6,3750E-4;-0,911;0,937;2,450;10,301;-32,531;-83,724;0,2459;-0,777;-1,999;2,450;-7,245;-19,399;110,741;-0,1730;-0,463;2,644;2,450;1,981;-39,647;18,064;0,0473;-0,947;0,431;2,450;0,240;-38,516;36,600;0,0057;-0,920;0,874
2,500;14,202;-10,996;-133,047;0,3390;-0,262;-3,176;2,500;14,791;0,126;-1,100;0,3531;0,003;-0,026;2,500;-6,351;-23,782;101,159;-0,1516;-0,568;2,415;2,500;-2,122;-35,312;61,261;-0,0507;-0,843;1,463;2,500;5,316;-39,506;-22,462;0,1269;-0,943;-0,536;2,500;12,805;-23,326;-121,737;0,3057;-0,557;-2,906;2,500;5,898;-38,924;-28,431;0,1408;-0,929;-0,679;2,500;11,308;-30,002;-98,018;0,2700;-0,716;-2,340;2,500;14,384;4,854;-4,869;0,3434;0,116;-0,116;2,500;-1,832;-35,720;58,434;-0,0437;-0,853;1,395;2,500;8,569;-36,066;-58,905;0,2046;-0,861;-1,406;2,500;-8,074;-13,635;116,710;-0,1928;-0,325;2,786;2,500;0,022;-38,155;39,427;5,2500E-4;-0,911;0,941;2,500;-1,640;-36,207;56,235;-0,0392;-0,864;1,343
2,550;13,477;-17,844;-131,947;0,3217;-0,426;-3,150;2,550;14,791;-0,031;-4,869;0,3531;-7,500E-4;-0,116;2,550;-7,413;-18,425;111,055;-0,1770;-0,440;2,651;2,550;-3,811;-31,762;78,383;-0,0910;-0,758;1,871;2,550;3,310;-40,071;1,414;0,0790;-0,957;0,034;2,550;11,484;-28,981;-101,945;0,2742;-0,692;-2,434;2,550;3,914;-39,835;-5,341;0,0934;-0,951;-0,128;2,550;9,684;-34,322;-73,356;0,2312;-0,819;-1,751;2,550;14,630;3,707;-35,657;0,3493;0,088;-0,851;2,550;-3,545;-32,311;76,027;-0,0846;-0,771;1,815;2,550;6,695;-38,422;-37,699;0,1598;-0,917;-0,900;2,550;-8,608;-7,728;117,024;-0,2055;-0,185;2,794;2,550;-1,835;-35,704;58,277;-0,0438;-0,852;1,391;2,550;-3,380;-32,892;74,142;-0,0807;-0,785;1,770
2,600;12,417;-24,190;-117,967;0,2964;-0,577;-2,816;2,600;14,787;-0,361;-35,814;0,3530;-0,009;-0,855;2,600;-8,193;-12,676;116,239;-0,1956;-0,303;2,775;2,600;-5,298;-27,473;92,206;-0,1265;-0,656;2,201;2,600;1,308;-39,364;24,976;0,0312;-0,940;0,596;2,600;9,907;-33,521;-77,754;0,2365;-0,800;-1,856;2,600;1,915;-39,458;18,850;0,0457;-0,942;0,450;2,600;7,876;-37,338;-49,480;0,1880;-0,891;-1,181;2,600;14,755;1,288;-35,814;0,3522;0,031;-0,855;2,600;-5,063;-28,117;90,164;-0,1209;-0,671;2,152;2,600;4,727;-39,835;-15,865;0,1128;-0,951;-0,379;2,600;-8,847;-1,932;111,212;-0,2112;-0,046;2,655;2,600;-3,548;-32,327;75,555;-0,0847;-0,772;1,804;2,600;-4,929;-28,793;88,279;-0,1177;-0,687;2,107
2,650;11,058;-29,641;-97,232;0,2640;-0,708;-2,321;2,650;14,755;-3,613;-101,945;0,3522;-0,086;-2,434;2,650;-8,680;-6,802;115,925;-0,2072;-0,162;2,768;2,650;-6,558;-22,541;104,772;-0,1566;-0,538;2,501;2,650;-0,627;-37,573;45,710;-0,0150;-0,897;1,091;2,650;8,132;-36,757;-53,564;0,1941;-0,877;-1,279;2,650;-0,031;-37,950;39,741;-7,5000E-4;-0,906;0,949;2,650;5,950;-39,270;-28,431;0,1421;-0,937;-0,679;2,650;14,759;0,126;-12,723;0,3523;0,003;-0,304;2,650;-6,357;-23,295;101,945;-0,1518;-0,556;2,434;2,650;2,711;-40,008;8,796;0,0647;-0,955;0,210;2,650;-8,801;3,393;100,688;-0,2101;0,081;2,404;2,650;-5,067;-28,149;89,693;-0,1210;-0,672;2,141;2,650;-6,260;-24,065;101,002;-0,1494;-0,574;2,411
2,700;9,453;-33,914;-72,728;0,2257;-0,810;-1,736;2,700;14,426;-10,556;-143,257;0,3444;-0,252;-3,420;2,700;-8,873;-1,084;109,799;-0,2118;-0,026;2,621;2,700;-7,552;-16,996;114,040;-0,1803;-0,406;2,722;2,700;-2,449;-34,793;64,717;-0,0585;-0,831;1,545;2,700;6,231;-38,877;-32,516;0,1488;-0,928;-0,776;2,700;-1,880;-35,484;58,905;-0,0449;-0,847;1,406;2,700;3,949;-40,181;-5,498;0,0943;-0,959;-0,131;2,700;14,767;0,016;-1,414;0,3525;3,750E-4;-0,034;2,700;-7,392;-17,923;110,741;-0,1765;-0,428;2,644;2,700;0,726;-38,956;31,102;0,0173;-0,930;0,743;2,700;-8,507;8,137;89,693;-0,2031;0,194;2,141;2,700;-6,363;-23,358;101,945;-0,1519;-0,558;2,434;2,700;-7,336;-18,692;111,527;-0,1751;-0,446;2,662
2,750;7,667;-36,914;-49,637;0,1830;-0,881;-1,185;2,750;13,699;-17,939;-137,759;0,3270;-0,428;-3,289;2,750;-8,789;4,178;99,589;-0,2098;0,100;2,378;2,750;-8,258;-11,137;117,496;-0,1971;-0,266;2,805;2,750;-4,106;-31,102;80,896;-0,0980;-0,742;1,931;2,750;4,244;-40,008;-10,053;0,1013;-0,955;-0,240;2,750;-3,580;-32,060;76,655;-0,0855;-0,765;1,830;2,750;1,932;-39,820;18,850;0,0461;-0,951;0,450;2,750;14,761;-0,016;-1,776E-13;0,3524;-3,750E-4;0,000;2,750;-8,149;-12,221;115,297;-0,1945;-0,292;2,753;2,750;-1,184;-36,898;51,051;-0,0283;-0,881;1,219;2,750;-7,988;12,362;78,697;-0,1907;0,295;1,879;2,750;-7,403;-17,954;111,841;-0,1767;-0,429;2,670;2,750;-8,129;-12,912;116,867;-0,1941;-0,308;2,790
2,800;5,762;-38,877;-28,746;0,1375;-0,928;-0,686;2,800;12,632;-24,332;-118,752;0,3016;-0,581;-2,835;2,800;-8,456;8,875;88,593;-0,2019;0,212;2,115;2,800;-8,666;-5,246;114,982;-0,2069;-0,125;2,745;2,800;-5,559;-26,704;94,876;-0,1327;-0,637;2,265;2,800;2,231;-39,883;14,294;0,0532;-0,952;0,341;2,800;-5,086;-27,819;92,049;-0,1214;-0,664;2,197;2,800;-0,033;-38,296;40,212;-7,8750E-4;-0,914;0,960;2,800;14,765;0,016;-2,670;0,3525;3,750E-4;-0,064;2,800;-8,614;-6,393;114,982;-0,2056;-0,153;2,745;2,800;-2,964;-33,851;69,272;-0,0708;-0,808;1,654;2,800;-7,271;16,006;66,445;-0,1736;0,382;1,586;2,800;-8,159;-12,174;116,396;-0,1948;-0,291;2,779;2,800;-8,627;-7,006;116,396;-0,2060;-0,167;2,779
