Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #2;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #3;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #4;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5;Messreihe #5
Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität;Zeit (s);Winkel (rad);Winkelgeschwindigkeit (rad/s);Winkelbeschleunigung (rad/s²);Position (m);Geschwindigkeit (m/s);Beschleunigung (m/s²);Beleuchtungsstärke (lux);Relative Intensität
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,190;-1,821;0,000;0,000;-0,0434625;0,000;0,000;13,6;13,5557556
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,200;-1,821;0,000;0,000;-0,0434625;0,000;0,000;13,5;13,4644470
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,210;-1,821;0,000;0,000;-0,0434625;0,000;0,000;13,5;13,4703979
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,220;-1,821;0,000;-3,927;-0,0434625;0,000;-0,094;13,4;13,4325562
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,230;-1,821;-0,079;-3,927;-0,0434625;-0,002;-0,094;13,3;13,3268127
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,240;-1,822;-0,079;3,927;-0,0435000;-0,002;0,094;13,1;13,1059723
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,250;-1,822;0,000;3,927;-0,0435000;0,000;0,094;13,1;13,0531769
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,260;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,9;12,8784637
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,270;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,7;12,7005463
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,280;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,5;12,5398712
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,290;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,5;12,5376282
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,300;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,5;12,4500427
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,310;-1,822;0,000;0,000;-0,0435000;0,000;0,000;12,3;12,3291931
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,320;-1,822;0,000;-3,927;-0,0435000;0,000;-0,094;12,2;12,2359619
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,330;-1,822;-0,079;-3,927;-0,0435000;-0,002;-0,094;12,2;12,1832275
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,340;-1,824;-0,079;3,927;-0,0435375;-0,002;0,094;12,0;12,0490417
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,350;-1,824;0,000;3,927;-0,0435375;0,000;0,094;11,9;11,8803864
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,360;-1,824;0,000;0,000;-0,0435375;0,000;0,000;11,9;11,8783569
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,370;-1,824;0,000;0,000;-0,0435375;0,000;0,000;11,7;11,7203674
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,380;-1,824;0,000;0,000;-0,0435375;0,000;0,000;11,4;11,4462738
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,390;-1,824;0,000;0,000;-0,0435375;0,000;0,000;11,4;11,3713074
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,400;-1,824;0,000;-3,927;-0,0435375;0,000;-0,094;11,2;11,1567688
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,410;-1,824;-0,079;-3,927;-0,0435375;-0,002;-0,094;10,9;10,9457855
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,420;-1,825;-0,079;3,927;-0,0435750;-0,002;0,094;10,9;10,8674011
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,430;-1,825;0,000;3,927;-0,0435750;0,000;0,094;10,8;10,8118134
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,440;-1,825;0,000;0,000;-0,0435750;0,000;0,000;10,7;10,6724548
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,450;-1,825;0,000;0,000;-0,0435750;0,000;0,000;10,6;10,6006317
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,460;-1,825;0,000;0,000;-0,0435750;0,000;0,000;10,4;10,4019165
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,470;-1,825;0,000;0,000;-0,0435750;0,000;0,000;10,1;10,0596619
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,480;-1,825;0,000;0,000;-0,0435750;0,000;0,000;9,7;9,7261963
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,490;-1,825;0,000;0,000;-0,0435750;0,000;0,000;9,7;9,6643066
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,500;-1,825;0,000;0,000;-0,0435750;0,000;0,000;9,4;9,4440613
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,510;-1,825;0,000;-3,927;-0,0435750;0,000;-0,094;9,2;9,2155914
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,520;-1,825;-0,079;-3,927;-0,0435750;-0,002;-0,094;9,1;9,1402130
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,530;-1,827;-0,079;3,927;-0,0436125;-0,002;0,094;9,0;9,0003967
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,540;-1,827;0,000;3,927;-0,0436125;0,000;0,094;8,8;8,7897644
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,550;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,7;8,6951141
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,560;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,6;8,5619049
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,570;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,5;8,4512329
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,580;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,3;8,3450317
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,590;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,4;8,3531647
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,600;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,3;8,3246765
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,610;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,2;8,2443695
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,620;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,2;8,2221985
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,630;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,2;8,1789093
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,640;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,1;8,0715942
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,650;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,0;7,9731140
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,660;-1,827;0,000;0,000;-0,0436125;0,000;0,000;8,0;7,9825287
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,670;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,9;7,8633575
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,680;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,7;7,6903229
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,690;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,7;7,7015533
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,700;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,6;7,6204376
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,710;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,5;7,5476990
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,720;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,6;7,5602112
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,730;-1,827;0,000;0,000;-0,0436125;0,000;0,000;7,6;7,5693207
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,740;-1,827;0,000;-3,927;-0,0436125;0,000;-0,094;7,5;7,5092010
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,750;-1,827;-0,079;-3,927;-0,0436125;-0,002;-0,094;7,5;7,4839172
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,760;-1,828;-0,079;3,927;-0,0436500;-0,002;0,094;7,5;7,4980621
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,770;-1,828;0,000;3,927;-0,0436500;0,000;0,094;7,5;7,4505463
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,780;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,4;7,4011688
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,790;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,4;7,3865662
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,800;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,4;7,4075317
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,810;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,3;7,3433380
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,820;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,3;7,3122559
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,830;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,3;7,2914124
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,840;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,3;7,2571259
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,850;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,2184143
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,860;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,2236023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,870;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,2108917
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,880;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,1941071
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,890;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,1527557
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,900;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,2;7,1526031
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,910;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,1;7,1396332
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,920;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,1;7,1140442
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,930;-1,828;0,000;0,000;-0,0436500;0,000;0,000;7,1;7,0791626
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,940;-1,828;0,000;-3,927;-0,0436500;0,000;-0,094;7,1;7,0806885
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,950;-1,828;-0,079;-3,927;-0,0436500;-0,002;-0,094;7,1;7,0819092
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,960;-1,830;-0,079;3,927;-0,0436875;-0,002;0,094;7,0;7,0453339
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,970;-1,830;0,000;3,927;-0,0436875;0,000;0,094;7,0;6,9889221
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,980;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;7,0189819
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,990;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;7,0131378
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,000;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9608459
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,010;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9713745
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,020;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9725494
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,030;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9637451
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,040;-1,830;0,000;0,000;-0,0436875;0,000;0,000;6,9;6,9309845
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,050;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9618683
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,060;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9656830
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,070;-1,830;0,000;0,000;-0,0436875;0,000;0,000;7,0;6,9501648
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,080;-1,830;0,000;0,000;-0,0436875;0,000;0,000;6,9;6,9284973
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,090;-1,830;0,000;0,000;-0,0436875;0,000;0,000;6,9;6,9434509
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,100;-1,830;0,000;-3,927;-0,0436875;0,000;-0,094;6,9;6,9125366
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,110;-1,830;-0,079;-3,927;-0,0436875;-0,002;-0,094;6,9;6,8674622
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,120;-1,832;-0,079;3,927;-0,0437250;-0,002;0,094;6,9;6,8772278
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,130;-1,832;0,000;3,927;-0,0437250;0,000;0,094;6,9;6,8702087
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,140;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8446808
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,150;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8262177
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,160;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8360291
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,170;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8105469
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,180;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8069916
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,190;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8207245
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,200;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,9;6,8576050
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,210;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8197632
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,220;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,8;6,8152771
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,230;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,9;6,8676605
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,240;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,9;6,8863831
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,250;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,9;6,8627930
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,260;-1,832;0,000;0,000;-0,0437250;0,000;0,000;6,9;6,8811951
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,270;-1,832;0,000;-3,927;-0,0437250;0,000;-0,094;6,9;6,8781433
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,280;-1,832;-0,079;-3,927;-0,0437250;-0,002;-0,094;6,9;6,8747406
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,290;-1,833;-0,079;3,927;-0,0437625;-0,002;0,094;6,8;6,8368530
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,300;-1,833;0,000;3,927;-0,0437625;0,000;0,094;6,9;6,8830872
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,310;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,9;6,8501740
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,320;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,8;6,7824707
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,330;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,8;6,7669067
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,340;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,7;6,7389374
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,350;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,7;6,6928558
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,360;-1,833;0,000;0,000;-0,0437625;0,000;0,000;6,6;6,6125946
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,370;-1,833;0,000;-3,927;-0,0437625;0,000;-0,094;6,6;6,6022644
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,380;-1,833;-0,079;-3,927;-0,0437625;-0,002;-0,094;6,5;6,5305023
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,390;-1,835;-0,079;3,927;-0,0438000;-0,002;0,094;6,5;6,4719086
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,400;-1,835;0,000;3,927;-0,0438000;0,000;0,094;6,4;6,3956604
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,410;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,4;6,4088440
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,420;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,4;6,3695679
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,430;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,3;6,3101654
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,440;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,3;6,3026886
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,450;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,3;6,3115845
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,460;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,3;6,2843323
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,470;-1,835;0,000;0,000;-0,0438000;0,000;0,000;6,3;6,2503510
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,480;-1,835;0,000;-3,927;-0,0438000;0,000;-0,094;6,3;6,2743073
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,490;-1,835;-0,079;-3,927;-0,0438000;-0,002;-0,094;6,3;6,2816315
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,500;-1,836;-0,079;3,927;-0,0438375;-0,002;0,094;6,3;6,2566071
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,510;-1,836;0,000;3,927;-0,0438375;0,000;0,094;6,3;6,2673950
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,520;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2723236
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,530;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2580719
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,540;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2503052
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,550;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2920532
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,560;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2796021
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,570;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,2;6,2463837
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,580;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2645874
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,590;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,3048706
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,600;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2908783
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,610;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,2995911
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,620;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,3171844
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,630;-1,836;0,000;0,000;-0,0438375;0,000;0,000;6,3;6,3337708
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,640;-1,836;0,000;-3,927;-0,0438375;0,000;-0,094;6,3;6,3323975
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,650;-1,836;-0,079;-3,927;-0,0438375;-0,002;-0,094;6,4;6,3890533
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,660;-1,838;-0,079;3,927;-0,0438750;-0,002;0,094;6,4;6,3893585
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,670;-1,838;0,000;3,927;-0,0438750;0,000;0,094;6,4;6,3875275
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,680;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,4;6,3920593
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,690;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,5;6,4606628
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,700;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,5;6,5386353
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,710;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,6;6,6081238
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,720;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,7;6,6760712
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,730;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,8;6,7897034
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,740;-1,838;0,000;0,000;-0,0438750;0,000;0,000;6,9;6,8905029
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,750;-1,838;0,000;0,000;-0,0438750;0,000;0,000;7,0;6,9673157
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,760;-1,838;0,000;-3,927;-0,0438750;0,000;-0,094;7,0;7,0421753
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,770;-1,838;-0,079;-3,927;-0,0438750;-0,002;-0,094;7,2;7,1846008
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,780;-1,839;-0,079;3,927;-0,0439125;-0,002;0,094;7,3;7,3032990
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,790;-1,839;0,000;3,927;-0,0439125;0,000;0,094;7,3;7,3451691
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,800;-1,839;0,000;0,000;-0,0439125;0,000;0,000;7,4;7,4059448
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,810;-1,839;0,000;0,000;-0,0439125;0,000;0,000;7,6;7,5515137
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,820;-1,839;0,000;0,000;-0,0439125;0,000;0,000;7,7;7,6529388
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,830;-1,839;0,000;0,000;-0,0439125;0,000;0,000;7,8;7,7634125
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59,840;-1,839;0,000;0,000;-0,0439125;0,000;0,000;7,8;7,8461609
