Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1;Messreihe #1
9,800;0,449;0,039;0,039;0,0107250;9,375E-4;9,375E-4;0,0;0,0475922
10,000;0,459;0,051;0,029;0,0109500;0,001;7,031E-4;0,0;0,0388641
10,200;0,470;0,051;-0,029;0,0112125;0,001;-7,031E-4;0,0;0,0378418
10,400;0,479;0,039;-0,029;0,0114375;9,375E-4;-7,031E-4;0,0;0,0381012
10,600;0,485;0,039;0,020;0,0115875;9,375E-4;4,688E-4;0,0;0,0383606
10,800;0,495;0,047;0,029;0,0118125;0,001;7,031E-4;0,0;0,0398102
11,000;0,504;0,051;0,020;0,0120375;0,001;4,688E-4;0,1;0,0548859
11,200;0,515;0,055;-0,010;0,0123000;0,001;-2,344E-4;0,1;0,0620270
11,400;0,526;0,047;-0,029;0,0125625;0,001;-7,031E-4;0,1;0,0625153
11,600;0,534;0,043;0,010;0,0127500;0,001;2,344E-4;0,1;0,0509491
11,800;0,543;0,051;0,010;0,0129750;0,001;2,344E-4;0,0;0,0382080
12,000;0,554;0,047;-0,020;0,0132375;0,001;-4,688E-4;0,0;0,0373230
12,200;0,562;0,043;0,010;0,0134250;0,001;2,344E-4;0,0;0,0381775
12,400;0,572;0,051;0,039;0,0136500;0,001;9,375E-4;0,0;0,0396729
12,600;0,583;0,059;-0,010;0,0139125;0,001;-2,344E-4;0,0;0,0490417
12,800;0,595;0,047;-0,049;0,0142125;0,001;-0,001;0,1;0,0647583
13,000;0,602;0,039;-0,010;0,0143625;9,375E-4;-2,344E-4;0,1;0,0735779
13,200;0,611;0,043;-0,010;0,0145875;0,001;-2,344E-4;0,1;0,0777283
13,400;0,619;0,035;-0,010;0,0147750;8,438E-4;-2,344E-4;0,1;0,0706177
13,600;0,625;0,039;0,029;0,0149250;9,375E-4;7,031E-4;0,1;0,0510864
13,800;0,635;0,047;0,020;0,0151500;0,001;4,687E-4;0,0;0,0436096
14,000;0,644;0,047;-5,204E-16;0,0153750;0,001;-1,626E-18;0,0;0,0419006
14,200;0,653;0,047;0,020;0,0156000;0,001;4,688E-4;0,0;0,0407562
14,400;0,663;0,055;0,010;0,0158250;0,001;2,344E-4;0,0;0,0417328
14,600;0,675;0,051;-0,029;0,0161250;0,001;-7,031E-4;0,0;0,0497437
14,800;0,683;0,043;-0,010;0,0163125;0,001;-2,344E-4;0,1;0,0525208
15,000;0,693;0,047;0,020;0,0165375;0,001;4,687E-4;0,1;0,0520325
15,200;0,702;0,051;0,010;0,0167625;0,001;2,344E-4;0,0;0,0429687
15,400;0,713;0,051;-0,010;0,0170250;0,001;-2,344E-4;0,0;0,0385742
15,600;0,723;0,047;-0,020;0,0172500;0,001;-4,687E-4;0,0;0,0387878
15,800;0,732;0,043;-0,029;0,0174750;0,001;-7,031E-4;0,0;0,0399780
16,000;0,740;0,035;-9,541E-16;0,0176625;8,438E-4;-2,277E-17;0,0;0,0406494
16,200;0,746;0,043;0,049;0,0178125;0,001;0,001;0,0;0,0456848
16,400;0,757;0,055;0,020;0,0180750;0,001;4,688E-4;0,1;0,0726471
16,600;0,768;0,051;-0,020;0,0183375;0,001;-4,687E-4;0,1;0,0816498
16,800;0,778;0,047;0,000;0,0185625;0,001;0,000;0,1;0,0826874
17,000;0,787;0,051;0,010;0,0187875;0,001;2,344E-4;0,1;0,0537720
17,200;0,798;0,051;-0,010;0,0190500;0,001;-2,344E-4;0,0;0,0424500
17,400;0,807;0,047;-0,029;0,0192750;0,001;-7,031E-4;0,0;0,0405121
17,600;0,817;0,039;-0,010;0,0195000;9,375E-4;-2,344E-4;0,0;0,0403290
17,800;0,823;0,043;0,029;0,0196500;0,001;7,031E-4;0,0;0,0406647
18,000;0,834;0,051;0,010;0,0199125;0,001;2,344E-4;0,1;0,0501556
18,200;0,844;0,047;-0,020;0,0201375;0,001;-4,688E-4;0,1;0,0663757
18,400;0,853;0,043;-0,020;0,0203625;0,001;-4,687E-4;0,1;0,0723267
18,600;0,861;0,039;0,020;0,0205500;9,375E-4;4,688E-4;0,1;0,0783081
18,800;0,869;0,051;0,039;0,0207375;0,001;9,375E-4;0,1;0,0580444
19,000;0,881;0,055;-0,020;0,0210375;0,001;-4,688E-4;0,0;0,0421143
19,200;0,891;0,043;-0,049;0,0212625;0,001;-0,001;0,0;0,0405884
19,400;0,898;0,035;0,010;0,0214500;8,438E-4;2,344E-4;0,0;0,0410767
19,600;0,905;0,047;0,049;0,0216000;0,001;0,001;0,0;0,0426941
19,800;0,917;0,055;-0,010;0,0219000;0,001;-2,344E-4;0,1;0,0547180
20,000;0,927;0,043;-0,029;0,0221250;0,001;-7,031E-4;0,1;0,0669098
20,200;0,935;0,043;-0,010;0,0223125;0,001;-2,344E-4;0,1;0,0689240
20,400;0,944;0,039;9,541E-16;0,0225375;9,375E-4;2,277E-17;0,1;0,0633392
20,600;0,950;0,043;0,029;0,0226875;0,001;7,031E-4;0,0;0,0445709
20,800;0,961;0,051;0,010;0,0229500;0,001;2,344E-4;0,0;0,0408173
21,000;0,971;0,047;-0,020;0,0231750;0,001;-4,688E-4;0,0;0,0421295
21,200;0,980;0,043;0,010;0,0234000;0,001;2,344E-4;0,0;0,0444183
21,400;0,988;0,051;0,029;0,0235875;0,001;7,031E-4;0,0;0,0467529
21,600;1,001;0,055;-0,020;0,0238875;0,001;-4,688E-4;0,1;0,0666199
21,800;1,010;0,043;-0,039;0,0241125;0,001;-9,375E-4;0,1;0,0970459
22,000;1,018;0,039;-0,020;0,0243000;9,375E-4;-4,688E-4;0,1;0,1141205
22,200;1,026;0,035;0,010;0,0244875;8,437E-4;2,344E-4;0,1;0,1309814
22,400;1,032;0,043;0,059;0,0246375;0,001;0,001;0,1;0,0927429
22,600;1,043;0,059;0,020;0,0249000;0,001;4,688E-4;0,1;0,0523071
22,800;1,056;0,051;-0,059;0,0252000;0,001;-0,001;0,0;0,0493622
23,000;1,063;0,035;-0,029;0,0253875;8,437E-4;-7,031E-4;0,0;0,0494385
23,200;1,070;0,039;0,020;0,0255375;9,375E-4;4,688E-4;0,0;0,0470123
23,400;1,079;0,043;0,020;0,0257625;0,001;4,688E-4;0,0;0,0465240
23,600;1,087;0,047;0,000;0,0259500;0,001;0,000;0,1;0,0553131
23,800;1,098;0,043;-0,029;0,0262125;0,001;-7,031E-4;0,1;0,0596619
24,000;1,104;0,035;0,010;0,0263625;8,437E-4;2,344E-4;0,1;0,0669250
24,200;1,112;0,047;0,039;0,0265500;0,001;9,375E-4;0,1;0,0666962
24,400;1,123;0,051;-0,010;0,0268125;0,001;-2,344E-4;0,1;0,0531006
24,600;1,133;0,043;-0,029;0,0270375;0,001;-7,031E-4;0,0;0,0457001
24,800;1,140;0,039;-0,010;0,0272250;9,375E-4;-2,344E-4;0,0;0,0461884
25,000;1,148;0,039;0,010;0,0274125;9,375E-4;2,344E-4;0,0;0,0495605
25,200;1,156;0,043;0,029;0,0276000;0,001;7,031E-4;0,1;0,0534973
25,400;1,166;0,051;0,020;0,0278250;0,001;4,688E-4;0,1;0,0850677
25,600;1,177;0,051;-0,029;0,0280875;0,001;-7,031E-4;0,1;0,1050720
25,800;1,186;0,039;-0,020;0,0283125;9,375E-4;-4,688E-4;0,1;0,1304016
26,000;1,192;0,043;0,039;0,0284625;0,001;9,375E-4;0,1;0,1088562
26,200;1,203;0,055;0,029;0,0287250;0,001;7,031E-4;0,1;0,0659485
26,400;1,214;0,055;-0,010;0,0289875;0,001;-2,344E-4;0,0;0,0495148
26,600;1,225;0,051;-0,010;0,0292500;0,001;-2,344E-4;0,0;0,0487671
26,800;1,235;0,051;-1,128E-15;0,0294750;0,001;-2,711E-17;0,1;0,0514984
27,000;1,246;0,051;-0,010;0,0297375;0,001;-2,344E-4;0,1;0,0634613
27,200;1,255;0,047;-0,010;0,0299625;0,001;-2,344E-4;0,1;0,1024780
27,400;1,264;0,047;0,010;0,0301875;0,001;2,344E-4;0,1;0,1450500
27,600;1,274;0,051;0,010;0,0304125;0,001;2,344E-4;0,1;0,1492615
27,800;1,285;0,051;-1,128E-15;0,0306750;0,001;-2,711E-17;0,1;0,1094360
28,000;1,294;0,051;0,010;0,0309000;0,001;2,344E-4;0,1;0,0606842
28,200;1,305;0,055;0,010;0,0311625;0,001;2,344E-4;0,1;0,0558624
28,400;1,316;0,055;-0,010;0,0314250;0,001;-2,344E-4;0,1;0,0541992
28,600;1,327;0,051;-0,020;0,0316875;0,001;-4,687E-4;0,1;0,0553894
28,800;1,337;0,047;-1,128E-15;0,0319125;0,001;-2,711E-17;0,1;0,0627441
29,000;1,346;0,051;0,010;0,0321375;0,001;2,344E-4;0,1;0,0617981
29,200;1,357;0,051;-0,020;0,0324000;0,001;-4,687E-4;0,1;0,0558014
29,400;1,367;0,043;-0,010;0,0326250;0,001;-2,344E-4;0,1;0,0567780
29,600;1,374;0,047;0,020;0,0328125;0,001;4,687E-4;0,1;0,0575562
29,800;1,385;0,051;-0,010;0,0330750;0,001;-2,344E-4;0,1;0,0593109
30,000;1,395;0,043;-0,020;0,0333000;0,001;-4,688E-4;0,1;0,0604858
30,200;1,403;0,043;0,020;0,0334875;0,001;4,688E-4;0,1;0,0622101
30,400;1,412;0,051;0,020;0,0337125;0,001;4,688E-4;0,1;0,1222687
30,600;1,423;0,051;-0,010;0,0339750;0,001;-2,344E-4;0,2;0,1706085
30,800;1,433;0,047;-0,010;0,0342000;0,001;-2,344E-4;0,2;0,2230835
31,000;1,442;0,047;-1,041E-15;0,0344250;0,001;-2,494E-17;0,2;0,1779633
31,200;1,451;0,047;1,041E-15;0,0346500;0,001;2,494E-17;0,1;0,0978851
31,400;1,461;0,047;1,041E-15;0,0348750;0,001;2,494E-17;0,1;0,0648956
31,600;1,470;0,047;0,010;0,0351000;0,001;2,344E-4;0,1;0,0622711
31,800;1,480;0,051;0,010;0,0353250;0,001;2,344E-4;0,1;0,0627441
32,000;1,491;0,051;-0,010;0,0355875;0,001;-2,344E-4;0,1;0,0658722
32,200;1,500;0,047;-0,010;0,0358125;0,001;-2,344E-4;0,1;0,0789337
32,400;1,510;0,047;0,010;0,0360375;0,001;2,344E-4;0,1;0,1165161
32,600;1,519;0,051;0,020;0,0362625;0,001;4,687E-4;0,1;0,1376038
32,800;1,530;0,055;0,010;0,0365250;0,001;2,344E-4;0,1;0,1204834
33,000;1,541;0,055;0,000;0,0367875;0,001;0,000;0,1;0,0733795
33,200;1,552;0,055;-0,010;0,0370500;0,001;-2,344E-4;0,1;0,0733490
33,400;1,563;0,051;-0,010;0,0373125;0,001;-2,344E-4;0,1;0,0705566
33,600;1,572;0,051;0,000;0,0375375;0,001;0,000;0,1;0,0783386
33,800;1,583;0,051;-0,010;0,0378000;0,001;-2,344E-4;0,1;0,1484680
34,000;1,593;0,047;0,000;0,0380250;0,001;0,000;0,2;0,2032166
34,200;1,602;0,051;0,010;0,0382500;0,001;2,344E-4;0,2;0,1588440
34,400;1,613;0,051;-2,272E-15;0,0385125;0,001;-5,421E-17;0,1;0,0962830
34,600;1,623;0,051;0,000;0,0387375;0,001;0,000;0,1;0,0777740
34,800;1,634;0,051;2,272E-15;0,0390000;0,001;5,421E-17;0,1;0,0696259
35,000;1,643;0,051;0,000;0,0392250;0,001;0,000;0,1;0,0754852
35,200;1,654;0,051;0,000;0,0394875;0,001;0,000;0,1;0,0948181
35,400;1,663;0,051;0,010;0,0397125;0,001;2,344E-4;0,2;0,1926727
35,600;1,674;0,055;-0,010;0,0399750;0,001;-2,344E-4;0,3;0,2655640
35,800;1,685;0,047;-0,029;0,0402375;0,001;-7,031E-4;0,3;0,3267517
36,000;1,693;0,043;-1,388E-15;0,0404250;0,001;4,337E-17;0,2;0,2457581
36,200;1,703;0,047;0,000;0,0406500;0,001;0,000;0,1;0,1197815
36,400;1,712;0,043;-0,020;0,0408750;0,001;-4,688E-4;0,1;0,0940704
36,600;1,720;0,039;0,000;0,0410625;9,375E-4;0,000;0,1;0,0932770
36,800;1,728;0,043;0,059;0,0412500;0,001;0,001;0,1;0,0886688
37,000;1,737;0,063;0,039;0,0414750;0,002;9,375E-4;0,1;0,0778961
37,200;1,753;0,059;-0,059;0,0418500;0,001;-0,001;0,1;0,0789795
37,400;1,761;0,039;-0,029;0,0420375;9,375E-4;-7,031E-4;0,1;0,0860443
37,600;1,769;0,047;0,029;0,0422250;0,001;7,031E-4;0,1;0,1110229
37,800;1,780;0,051;-0,010;0,0424875;0,001;-2,344E-4;0,1;0,1090546
38,000;1,789;0,043;-0,039;0,0427125;0,001;-9,375E-4;0,1;0,0925293
38,200;1,797;0,035;0,000;0,0429000;8,437E-4;-4,337E-17;0,1;0,0898590
38,400;1,803;0,043;0,029;0,0430500;0,001;7,031E-4;0,1;0,1043091
38,600;1,814;0,047;0,000;0,0433125;0,001;4,337E-17;0,1;0,1145630
38,800;1,822;0,043;-0,010;0,0435000;0,001;-2,344E-4;0,1;0,1474609
39,000;1,832;0,043;-1,908E-15;0,0437250;0,001;-4,608E-17;0,3;0,2735748
39,200;1,839;0,043;0,010;0,0439125;0,001;2,344E-4;0,5;0,4693756
39,400;1,849;0,047;0,010;0,0441375;0,001;2,344E-4;0,5;0,4691315
39,600;1,858;0,047;0,000;0,0443625;0,001;0,000;0,3;0,2862854
39,800;1,868;0,047;0,000;0,0445875;0,001;0,000;0,1;0,1464691
40,000;1,877;0,047;-0,010;0,0448125;0,001;-2,344E-4;0,1;0,1180878
40,200;1,887;0,043;-0,010;0,0450375;0,001;-2,344E-4;0,1;0,0980835
40,400;1,894;0,043;0,010;0,0452250;0,001;2,344E-4;0,1;0,0980682
40,600;1,904;0,047;0,000;0,0454500;0,001;0,000;0,1;0,1050415
40,800;1,913;0,043;-0,020;0,0456750;0,001;-4,688E-4;0,1;0,1488037
41,000;1,921;0,039;-1,908E-15;0,0458625;9,375E-4;-4,608E-17;0,3;0,2637939
41,200;1,929;0,043;0,020;0,0460500;0,001;4,688E-4;0,4;0,3585052
41,400;1,938;0,047;0,010;0,0462750;0,001;2,344E-4;0,4;0,3898163
41,600;1,948;0,047;-0,010;0,0465000;0,001;-2,344E-4;0,2;0,2159576
41,800;1,957;0,043;-0,029;0,0467250;0,001;-7,031E-4;0,1;0,1332397
42,000;1,965;0,035;-0,020;0,0469125;8,437E-4;-4,688E-4;0,1;0,1238861
42,200;1,971;0,035;0,020;0,0470625;8,437E-4;4,688E-4;0,1;0,1451111
42,400;1,979;0,043;0,039;0,0472500;0,001;9,375E-4;0,1;0,1411285
42,600;1,989;0,051;0,010;0,0474750;0,001;2,344E-4;0,2;0,1834412
42,800;2,000;0,047;-0,020;0,0477375;0,001;-4,688E-4;0,3;0,2951965
43,000;2,007;0,043;6,765E-16;0,0479250;0,001;-6,505E-18;0,3;0,3461609
43,200;2,017;0,047;0,010;0,0481500;0,001;2,344E-4;0,3;0,2766113
43,400;2,026;0,047;-0,010;0,0483750;0,001;-2,344E-4;0,2;0,1773682
43,600;2,036;0,043;-0,010;0,0486000;0,001;-2,344E-4;0,1;0,1403351
43,800;2,044;0,043;0,010;0,0487875;0,001;2,344E-4;0,1;0,1132813
44,000;2,053;0,047;-0,010;0,0490125;0,001;-2,344E-4;0,1;0,1232605
44,200;2,062;0,039;-0,020;0,0492375;9,375E-4;-4,688E-4;0,1;0,1371765
44,400;2,069;0,039;0,010;0,0493875;9,375E-4;2,344E-4;0,3;0,2566833
44,600;2,078;0,043;-2,776E-15;0,0496125;0,001;0,000;0,4;0,3695526
44,800;2,086;0,039;-0,020;0,0498000;9,375E-4;-4,688E-4;0,7;0,6611176
45,000;2,094;0,035;-0,010;0,0499875;8,437E-4;-2,344E-4;0,9;0,8853455
45,200;2,100;0,035;0,000;0,0501375;8,437E-4;0,000;0,9;0,9086151
45,400;2,108;0,035;0,010;0,0503250;8,437E-4;2,344E-4;0,6;0,6223145
45,600;2,114;0,039;0,010;0,0504750;9,375E-4;2,344E-4;0,3;0,2992401
45,800;2,124;0,039;-0,020;0,0507000;9,375E-4;-4,688E-4;0,2;0,1853027
46,000;2,130;0,031;-0,020;0,0508500;7,500E-4;-4,688E-4;0,2;0,1683655
46,200;2,136;0,031;0,000;0,0510000;7,500E-4;0,000;0,2;0,1745911
46,400;2,143;0,031;0,020;0,0511500;7,500E-4;4,688E-4;0,2;0,1732941
46,600;2,149;0,039;0,029;0,0513000;9,375E-4;7,031E-4;0,1;0,1494293
46,800;2,158;0,043;-0,020;0,0515250;0,001;-4,688E-4;0,2;0,1939240
47,000;2,166;0,031;-0,039;0,0517125;7,500E-4;-9,375E-4;0,3;0,2959137
47,200;2,171;0,027;-0,010;0,0518250;6,562E-4;-2,344E-4;0,4;0,3943939
47,400;2,177;0,027;-0,020;0,0519750;6,562E-4;-4,687E-4;0,4;0,4306946
47,600;2,182;0,020;-0,029;0,0520875;4,688E-4;-7,031E-4;0,6;0,5612640
47,800;2,185;0,016;0,000;0,0521625;3,750E-4;0,000;0,6;0,5996399
48,000;2,188;0,020;0,020;0,0522375;4,688E-4;4,688E-4;0,6;0,5694275
48,200;2,193;0,024;0,029;0,0523500;5,625E-4;7,031E-4;0,5;0,4513092
48,400;2,198;0,031;0,020;0,0524625;7,500E-4;4,688E-4;0,3;0,2814636
48,600;2,205;0,031;-0,010;0,0526500;7,500E-4;-2,344E-4;0,2;0,2268219
48,800;2,210;0,027;0,000;0,0527625;6,562E-4;-4,337E-17;0,2;0,2268677
49,000;2,216;0,031;0,020;0,0529125;7,500E-4;4,687E-4;0,3;0,2552185
49,200;2,223;0,035;0,020;0,0530625;8,437E-4;4,688E-4;0,3;0,2919312
49,400;2,231;0,039;1,561E-15;0,0532500;9,375E-4;3,768E-17;0,3;0,2808075
49,600;2,238;0,035;-0,020;0,0534375;8,437E-4;-4,688E-4;0,5;0,4509888
49,800;2,245;0,031;-0,020;0,0535875;7,500E-4;-4,688E-4;0,7;0,6963654
50,000;2,251;0,027;-0,020;0,0537375;6,562E-4;-4,687E-4;1,0;1,0086975
50,200;2,256;0,024;0,010;0,0538500;5,625E-4;2,344E-4;1,1;1,1312103
50,400;2,260;0,031;0,029;0,0539625;7,500E-4;7,031E-4;1,3;1,2831879
50,600;2,268;0,035;0,010;0,0541500;8,437E-4;2,344E-4;1,0;1,0312958
50,800;2,275;0,035;0,000;0,0543000;8,437E-4;0,000;0,6;0,5945282
51,000;2,282;0,035;-0,020;0,0544875;8,437E-4;-4,688E-4;0,4;0,3645630
51,200;2,289;0,027;-0,020;0,0546375;6,562E-4;-4,687E-4;0,3;0,2741241
51,400;2,293;0,027;1,223E-15;0,0547500;6,562E-4;2,927E-17;0,3;0,2644501
51,600;2,300;0,027;0,010;0,0549000;6,562E-4;2,344E-4;0,3;0,2992096
51,800;2,304;0,031;0,020;0,0550125;7,500E-4;4,688E-4;0,3;0,3274841
52,000;2,312;0,035;-1,388E-15;0,0552000;8,437E-4;-7,671E-17;0,3;0,3258667
52,200;2,318;0,031;-0,010;0,0553500;7,500E-4;-2,344E-4;0,4;0,4283295
52,400;2,325;0,031;-0,010;0,0555000;7,500E-4;-2,344E-4;0,7;0,7090759
52,600;2,331;0,027;-0,010;0,0556500;6,562E-4;-2,344E-4;1,0;0,9519501
52,800;2,336;0,027;0,000;0,0557625;6,562E-4;0,000;1,5;1,5012970
53,000;2,342;0,027;-1,223E-15;0,0559125;6,562E-4;-2,927E-17;1,7;1,7213135
53,200;2,347;0,027;0,020;0,0560250;6,562E-4;4,687E-4;1,7;1,6963501
53,400;2,353;0,035;0,029;0,0561750;8,437E-4;7,031E-4;1,0;1,0295105
53,600;2,361;0,039;0,000;0,0563625;9,375E-4;0,000;0,7;0,7331085
53,800;2,369;0,035;-0,020;0,0565500;8,437E-4;-4,688E-4;0,4;0,4028015
54,000;2,375;0,031;-0,020;0,0567000;7,500E-4;-4,688E-4;0,4;0,3534546
54,200;2,381;0,027;0,000;0,0568500;6,562E-4;4,337E-17;0,4;0,3927002
54,400;2,386;0,031;0,020;0,0569625;7,500E-4;4,688E-4;0,4;0,4360962
54,600;2,394;0,035;0,010;0,0571500;8,437E-4;2,344E-4;0,4;0,4087982
54,800;2,400;0,035;0,000;0,0573000;8,437E-4;0,000;0,6;0,5861511
55,000;2,408;0,035;-0,010;0,0574875;8,437E-4;-2,344E-4;0,8;0,7999573
55,200;2,414;0,031;0,000;0,0576375;7,500E-4;0,000;1,2;1,2433167
55,400;2,421;0,035;0,010;0,0577875;8,437E-4;2,344E-4;2,0;1,9566498
55,600;2,428;0,035;-0,010;0,0579750;8,437E-4;-2,344E-4;2,3;2,3227692
55,800;2,435;0,031;0,000;0,0581250;7,500E-4;0,000;2,0;1,9549103
56,000;2,441;0,035;0,010;0,0582750;8,437E-4;2,344E-4;1,0;1,0380402
56,200;2,449;0,035;-0,010;0,0584625;8,437E-4;-2,344E-4;0,7;0,6800537
56,400;2,455;0,031;-0,010;0,0586125;7,500E-4;-2,344E-4;0,7;0,6716156
56,600;2,461;0,031;0,010;0,0587625;7,500E-4;2,344E-4;0,8;0,8292084
56,800;2,468;0,035;0,010;0,0589125;8,437E-4;2,344E-4;0,9;0,8773804
57,000;2,476;0,035;0,010;0,0591000;8,437E-4;2,344E-4;0,9;0,8746033
57,200;2,482;0,039;0,020;0,0592500;9,375E-4;4,688E-4;1,6;1,5518799
57,400;2,491;0,043;-0,010;0,0594750;0,001;-2,344E-4;3,0;3,0426331
57,600;2,499;0,035;-0,039;0,0596625;8,437E-4;-9,375E-4;3,9;3,9284973
57,800;2,505;0,027;-0,020;0,0598125;6,562E-4;-4,688E-4;4,4;4,4140930
58,000;2,510;0,027;0,020;0,0599250;6,562E-4;4,687E-4;4,2;4,2248840
58,200;2,516;0,035;0,039;0,0600750;8,437E-4;9,375E-4;2,7;2,7058563
58,400;2,524;0,043;0,010;0,0602625;0,001;2,344E-4;1,4;1,3802338
58,600;2,534;0,039;-0,029;0,0604875;9,375E-4;-7,031E-4;1,1;1,0513306
58,800;2,540;0,031;-0,020;0,0606375;7,500E-4;-4,688E-4;1,2;1,1854248
59,000;2,546;0,031;-0,010;0,0607875;7,500E-4;-2,344E-4;1,5;1,5165558
59,200;2,553;0,027;0,000;0,0609375;6,562E-4;4,337E-17;1,9;1,8551178
59,400;2,557;0,031;0,020;0,0610500;7,500E-4;4,688E-4;2,6;2,5662384
59,600;2,565;0,035;0,010;0,0612375;8,437E-4;2,344E-4;5,1;5,1396790
59,800;2,571;0,035;0,000;0,0613875;8,437E-4;0,000;11,7;11,7047119
60,000;2,579;0,035;-1,561E-15;0,0615750;8,437E-4;-3,768E-17;19,5;19,5105896
60,200;2,586;0,035;-0,010;0,0617250;8,437E-4;-2,344E-4;27,6;27,6396637
60,400;2,593;0,031;-0,020;0,0619125;7,500E-4;-4,687E-4;29,8;29,8171234
60,600;2,598;0,027;0,010;0,0620250;6,562E-4;2,344E-4;22,8;22,7551880
60,800;2,604;0,035;0,010;0,0621750;8,437E-4;2,344E-4;12,5;12,5115204
61,000;2,612;0,031;-0,020;0,0623625;7,500E-4;-4,687E-4;6,9;6,8706512
